A,B
'¿Cuál problema Maite Orsini junto Boric hayan visitado Salamanca Kast se reunió asesinos Punta Peuco',NoAgresivo
'¿Las Chilenas cara de indias JAJAJA mi chilenas son mas lindas de latinoamérica son hermosas dejen de decir huevadas',NoAgresivo
'¿ME QUERÍ WEAR PERRA CULIÁ MY FRIENDS CONGRATULATIONS NICK CHUPALA MARACA SAL DE ACÁ NADIE TE QUIERE CTM',Agresivo
'¿Por qué quitarle mujer (estupenda x cierto) encanto de curvas Donde hay masa mejor se pasa ',NoAgresivo
'¿Qué Diputados Frente Amplio sabían de reunión de Boric asesino Palma Salamanca',NoAgresivo
'¿Qué espera derecha pedir destitución de Maite Orsini y Gabriel Boric reunirse escondidas asesino',NoAgresivo
'¿Que bueno hice merecer mujer maravillosa mi vida',NoAgresivo
'¿Que lindo no Con cargo nuestros impuestos pagamos noches de farra y amor Paris de diputados',Agresivo
'¿Quieren desviar atención de temas más importantes este asunto Boric',NoAgresivo
'¿Respeta algo Diputado ',NoAgresivo
'¿Y esposa trata puta barata aquí ¿Su mamá también chupa',Agresivo
'“Las mujeres desean amadas no sean bonitas o buenas o educadas o graciosas o inteligentes sino mismas”',NoAgresivo
'“Mi ex re celosa alta loca de mierda”',Agresivo
'“Una mujer derecho estar guapa perfecta y deseable Y no provocación arte Y resto debe respeto y educación”',NoAgresivo
'1 Sube desempleo 71% 2 Baja Ranking Doing Business 3 Se contrae nuevamente producción industrial 4 Se anticipa debil IMACEC par Septiembre Nooo no gobierno de Michelle Bachelet Es Sebastián Piñera octubre 31 de 2018 Notaron  nadie se escandaliza',NoAgresivo
'3 años de crear Ministerio de Agricultura Alimentos Pesca y Recursos Ayer Presidenta Bachelet retiró Congreso',Agresivo
'4 El problema de fondo acá no Bachelet ni partidos Hay cambiar CON SUMA URGENCIA Constitución de este país Como sea',NoAgresivo
'6 Si Twitter fuera influyente pintan Ni Bachelet ni Matthei hubiesen pasado segunda vuelta',NoAgresivo
'A Bachelet le preocupa Bolsonaro amigos son súper inofensivos ',NoAgresivo
'Boric Ahora después de Licencia TOC y recaída TAC ( Trastorno antipatriota compulsivo)',Agresivo
'weona quemaría centro de concentración terrorista de mierda mir nose webea DDHH',Agresivo
'A hora 2010 Bachelet se iba dormir chicle velador',NoAgresivo
'A mierda todos gnósticos hijos de puta y filosofía barata parecen idiotas  Se han venido cagar vida de muchas personas secta satánica ',NoAgresivo
'A mujer general le molesta mujer estupenda y no envidia ni celos inseguridad y aprendizaje machista de decadas',NoAgresivo
'A mejor Maite Orsini andaba de arañita entró departamento y tocó mala cuea RPS adentro reunido Gabriel Boric',NoAgresivo
'A medios de comunicación les encanta decirle Bolsonaro “Ultra Derechista” omiten decirle Bachelet Evo Morales kirchner o Maduro “Ultra Izquierdistas” o “Ultra Comunistas” A “Social Democracia”',NoAgresivo
'mi me caen chilenas son lindas y nunca se meten mexicanas u amo',NoAgresivo
'A mi mujer le regalar lampara de aladino pa q guarde genio de mierda q ← jajajajaja',Agresivo
'mí no me gusta expresiones diputado boric creo mucho daño chile entero acción',NoAgresivo
'A Miss Ucrania le piden renunciar corona descubrir madre soltera mujer y bella A Miss España le aplauden paticipe Miss Universo al cortarse miembro viril se vuelve mujer  hombre ',Agresivo
'A mujeres buenas les rompemos corazón',NoAgresivo
'Srta Que noticias este momento atenta contra independencia de radio eufórica llegada de Bachelet',NoAgresivo
'edad nosotros/as jóvenes 70s y 80s no dudamos combatir tiranía ¿Si teníamos miedo sí',NoAgresivo
'A todos muchas gracias aceptar y entender mi emoción quién gracias mujer maravillosa siempre y contra toda evidencia creído mí',NoAgresivo
'A mujer signo #ARIES mejor y recomendable tenerla SIEMPRE de amiga de enemiga peor diablo',Agresivo
'A mujer no se le pega Berni golpearía tanto tanto pa deje mierda de pololo',Agresivo
'A vs no t quedar ni piojos negra sarnosa',Agresivo
'Aaaa perra desgraciada ',Agresivo
'aaaa watona ql mierda hablando ahí de Chile weona hablando de pasa acá ven Chile mierda',Agresivo
'Acá Chile medios de comunicación de izquierda temen Bolsonaro destape olla y caiga Bachelet',NoAgresivo
'Acá estadistica DESIGUALAD durante gobierno de #bachelet  Y así cara dura habla de NO + DESIGUALDAD ',Agresivo
'Acá hay más parques (eléctricos) creo Bachelet cuidar medio ambiente ',Agresivo
'Acaso mugrienta y sarnosa me tiro ese tweet mí',Agresivo
'Acompañando mujer nacimiento hasta senectud Feliz día todos ninguna profesión maravillosa y todos estáis punto de adentraros ella ',NoAgresivo
'Acordándome de gran amiga gran persona gran mujer ella mi amiga @katrinamorenoof q le deseo mejor de vida se merece A ver hablamos amiga mía cuídate y dale besitos familia',NoAgresivo
'Además mujer fea…',Agresivo
'Aeropuerto Michelle Bachelet y arda ',NoAgresivo
'Agradecido vida fortuna de coincidir mujer maravillosa has sido mi compañera de proyectos aventuras y alegrías Gracias Cristina celebrar año más de enamorados',NoAgresivo
'Ahí pedir destitución de GBoric y Maite Orsini',NoAgresivo
'Ahora #matiasdelrio insinuando q #Bachelet modificar informe q le entrego Engel Muy pelotudo',NoAgresivo
'Ahora de culpable lluvia descansa rato Bachelet',NoAgresivo
'Ahora Haitianos protestan frente propia embajada  quizás debieran entender de vez utilizados carne de cañón gobierno de izquierda liderado Bachelet  ahí reclamen y pataleen razón',NoAgresivo
'Ajajajajajajaj perdón te volviste perra pensé buscabas dinero',Agresivo
'Al terminaron #TiemposPeores de 176 haitianos llegaron Chile engañados Bachelet y jesuitas Hoy actual gobierno de manera responsable y sensata les permitió volver país través Plan de Retorno Humanitario ¡¡Progres y zurderío pataletas',NoAgresivo
'Al parecer Pdta Bachelet aún no entiende de prioridades delegada de Reconstruccion aún no al norte se perdió @biobio',NoAgresivo
'Al ver Esto Creo Firmemente MICHELLE BACHELET Persona Menos Indicada Defender DDHH',NoAgresivo
'Al volver Michelle Bachelet demuestra ambición de fuese vocación de servicio seguiría ',NoAgresivo
'ALEMISA MALDITA ERES UNA ZORRA DEVUÉLVEME ESO',Agresivo
'Algo bueno debí haber hecho vida o quizá otra mujer maravillosa gracias mi compañera de viaje y de vida ',NoAgresivo
'amiga no quiero te mueras mira perra q estas tenés lucirte jajaja amo',NoAgresivo
'amigaaaaaa estás tanto juntarnos (maraca culiá te odio ojalá nunca más verte)',Agresivo
'AMO buena onda hay mujeres hoy dia buenas vibras son hermosas ',NoAgresivo
'amor violento tonta weona wena pal p marengo mas weona perros nuevos',Agresivo
'Ana Lya Uriarte Si Bachelet no se emancipa d flia Davalos-Champignon terminarán sepultarla D flia muchas veces hay q divorciarse',Agresivo
'anciones Es broma Tan tibios políticos de derecha no ni brillo',NoAgresivo
'Anda vida social Punta Peuco mejortonta weona',Agresivo
'Anda lavarte ese culo mujer se jodan Tu quieres sacarle provecho desgracias de demas-',Agresivo
'ANDAN PURO MATANDO A LOS MAPUCHE VIEJA MARACA SAPA CONCHETUMARE SOY TAN HUEONA QUE LE PASAY EL HOLLO AL PIÑERA BASTARDA CULEA EL PUEBLO MAPUCHE DISE QUE VA COBRAR VENGANSA PASANDOTE EL PICO POR LA JETA BORRACHA MARACA SAPA EDIONDA Y LA RECONCHETUMARE TRAGASABLEDE CARNE ',Agresivo
'Ándate de mi región vieja culiá',Agresivo
'Ándate maraca culiá Kenita suficiente no necesitamos importar más maracas',Agresivo
'Anoche tranqui bailando boliche y se acercan 4 pibes sacarme bailar (iban probando de uno) todos les dije no insistían e insistían hasta se cansaron y me tiraron ANDA A LA CONCHA DE TU MADRE LOCA DE MIERDA ASI NO VAS A COGER NUNCA',Agresivo
'AONDE TA LA VIEJA CULIA QUE GRITÓ QUE SE VAYA ANDATE VO MARACA CONCHETUMAREEEE NO SI NO FALTAN ESAS WEONAS E LOS FANDOM ',Agresivo
'aportar poco felicidad de persona se siente gracias ',NoAgresivo
'Apoyando deporte Femenino de nuestro municipio  mujeres berracas luchadoras emprendedoras y buenas deportistas Felicidades todas ',NoAgresivo
'Aprende escribir engendro ctm Como le cagas vida tu hijo palabras inexistentes tonta weona inculiable Saludos',Agresivo
'Aprovecho de felicitar al Gbrno de presidenta Bachelet día Nacional circo ',NoAgresivo
'Aquí te critican salir de peda ya zorra mala niña etc estressssss',Agresivo
'Argentinas y chilenas peleandose paraguay están mujeres más lindas mundo',NoAgresivo
'ASÍ COMO ERES D DESCARADA PUTABARATA ACTRIZPORNO MAGGIECIVANTOS LLEVAS D VIAJE YFOLLAS CON EL PERVERTIDOPEDOFILO VIOLADORDEMENORES COLMENAR XQ NO LO ENSEÑAS PERRAASQUEROSA TEFOLLAS UN VIOLADORDEMENORES DROGADAYBORRACHA LA ÚNICA MANERA DFOLLAR PROSTITUTABARATA COMPLICE',Agresivo
'ASÍ COMO LA DESCARADA PUTABARATA ACTRIZPORNO MAGGIECIVANTOS FOLLACON EL PERVERTIDOPEDOFILO VIOLADORDEMENORES XQ NO MUESTRA COMO QUEDÁ CON EL SÓLO PARAFOLLAR ES UNA PERRAASQUEROSA @maggiecivantos SEFOLLA UN VIOLADORDEMENORES DROGADAYBORRACHA LA ÚNICAMANERA DFOLLAR PROSTITUTABARATA',Agresivo
'Así convicciones de Bachelet/ falta digan murieron causa natural ',NoAgresivo
'Así comando de M Bachelet pidío Julian Elfenbein y no acepto entrevistara Mauricio Bustamante La Muda hizo otra vez',NoAgresivo
'ASI SE HABLA‼️‼️‼️‼️JOSE ANTONIO COLOMA REVENTÓ A GB‼️‼️‼️‼️Insolente ignorante y no entendido absolutamente nada',NoAgresivo
'Así son resto se disfrazan de buenas personas todos crean locas son quedar duques seguir ejerciendo violencia mujeres total exageradas son',Agresivo
'Atentos Camioneros reaccionan frente al alza Diesel Subiran tarifas y servicios de transporte se traduce alza precios de TODO Con Bachelet paraban País Piñera suben tarifas MISERABLES',NoAgresivo
'Atrosh Boric se reúna asesino',NoAgresivo
'aww grisi te quiero muchisisismo mujer Eres asombrosa Sigue asi y jamás te detengas ) te quiero te quieroo',NoAgresivo
'Ay tonta weona La rusia de pobla Weona aprende leer Cuanto te pagan chupar pico este gobierno A región q eligió inculeable favor sanciones drásticas',Agresivo
'ayer me bloqueo maraca culia de @bruffinelli le dije weona sola este pais se condena decir',Agresivo
'ayer cuica le dijo al colectivero simple taxista y vay siempre respondí qué te crei maraca culia',Agresivo
'Bachelet elegir equipos de jajajaja elige murieron tantos chilenos 27/F #LasCarasDeLaMoneda',Agresivo
'Bachelet 2005 hizo video similar al de Goldborne comparenlo La dif MB muerte de padre LG de salió',NoAgresivo
'Bachelet advierte Bolsonaro vigilará DDHH Ya encargó informes situación de Brasil Caval ilustraciones de Diezzel Kunst',NoAgresivo
'Bachelet avisa Bolsonaro vigilará respeto DDHH Brasil ¿Y de Venezuela ¿Y de Nicaragua ¿Y de Cuba',NoAgresivo
'Bachelet celebrando 11 de septiembre jajajajaja csm xD',NoAgresivo
'BACHELET CREA RED DE PARQUES PROTEGUDOS DE LA PATAGONIA PIÑERA LE BAJA EL PRESUPUESTO Ministerio de ciencia y tecnología Y Piñera le baja presupuesto',NoAgresivo
'Bachelet graciosa dice vigilar de cerca Bolsonaro no se cometan Brasil violaciones de derechos Señora @mbachelet dónde sí está ocurriendo ¡en Venezuela',NoAgresivo
'Bachelet está mas preocupada hipotética violación futura de DDHH Brasil violaciones crónicas y permanentes de DDHH Cuba Venezuela y Nicaragua',NoAgresivo
'Bachelet monigote Gobierno anterior Velasco Y Lagos más sepa se mandó medios cagazos',Agresivo
'BACHELET HASTA ULTIMO MINUTO HACIENDO DAÑO A CHILE - El reajuste de pago Alsacia se acordó días término gobierno de BACHELET El documento estableció aumento pago pasajero transportado de $5201 Estado hoy debe cancelar de manera retroactiva',Agresivo
'Bachelet hizo cumplió cuota ONU le exigía puesto hoy alta comisionada de Derechos Humanos',NoAgresivo
'Bachelet me quema más me quema baila me da pena rabia nostalgia de cosas',NoAgresivo
'Bachelet miente y se ríe cara de todos',NoAgresivo
'Bachelet no solución #eso #primarias #vote',NoAgresivo
'Bachelet no moral ni ética exigir presidente recién electo aún no menciona de pasa Venezuela y Cuba',NoAgresivo
'Bachelet no de Venezuela está ocupada vigilando Bolsonaro sí real peligro humanidad ',NoAgresivo
'Bachelet promete extender metro me imagino de misma forma qe prometio Biotren hasta Coronel',Agresivo
'Bachelet y secuaces deben pagar cárcel efectiva o al Paredón arruinar Patria ',NoAgresivo
'Bachelet ya dijo Tsunami llegaría Bolivia” // Creo se metió 5 chicles boca',Agresivo
'Bachelet ya habría advertido peligro de tsunami Santiago y Bolivia',NoAgresivo
'Bachelet presidente de república de Chile podría haber dado éstas declaraciones cualquier parte y no esperar llegada Stgo',NoAgresivo
'Barbara Ctm mas mal te caiga alguien no puedes sacarle madre y menos falleció no se juega maraca culia',Agresivo
'Barbara mujer maravillosa recolecta juguetes buen regalarlos navidad niños y niñas de escasos recursos',NoAgresivo
'Básicamente esperan Bachelet son quieren bonos nada',NoAgresivo
'Bella inteligente maravillosa Orgullosas de fans Una mujer extraordinaria ',NoAgresivo
'Bellas palabras de compañera Carmen Andrade recordando mujeres pobladoras formaron ese aprendizaje feminismo y todos sentidos',NoAgresivo
'Benditas mujeres hoy decidieron quedarse casa niñas buenas son ver pelis o estar redes sociales y no salieron echar desmadre y portarse mal',NoAgresivo
'Besar mujer apretarle nalgas  falta de respeto',Agresivo
'BESITOS TERE LA GORRIADA D4L SIGLO DEJATE DE ESCRIBIR IDIOTESES PREOCUPATE DE QUÉ NO TE SIGAN GORRIANDO TAN SEGUIDO Y DE SEGUIR MENDIGANDO PARA TU FUNDACIÓN JJAJAJJJAJA ME HACEN TANTO REÍR SOBRETODO CIA DO HABLAN DE LA GORDI LOS COMUNACHOS Y DEMÁSya verán calles',Agresivo
'Bitar dice bachelet mujer integra y CABAL jajajajaja se le chispoteo #Tolerancia0/Villegas q CAVAL JA',NoAgresivo
'Bitar habla pura tonteras Jubile señor  YO no de derecha tampoco de NM y claramente Bachelet NO liderazgo',NoAgresivo
'Bocachancla Feminazi vuelvas follar calle puta barata cuidado bolso no te roben otra vez',Agresivo
'Bolsonaro no ni 24 de haber arrasado elecciones y ya Bachelet dice velará DDHH Brasil Cuánta diligencia de señora @mbachelet no nada asesinatos de Dicaduras de Venezuela y Nicaragua',NoAgresivo
'Boric Boric ten poco de dignidad y ándate',NoAgresivo
'Boric enloda al parlamento antipatriota Él sale de Chile pasaporte diplomático representante Estado',NoAgresivo
'boric defensor de delincuente común Palma Salamanca mato Jaime Guzmán sino ademas asesino Brasil',NoAgresivo
'Boric se pasa culo Chile',Agresivo
'Boric Sinverguenza',NoAgresivo
'Boric trajo Punta Arenas feminazi preferida',NoAgresivo
'Boric y Mina hicieron validar asesinato impune de senadores',NoAgresivo
'Boric vas de Tumbo TumboParece no aprendes',NoAgresivo
'Boricun pobre diablo enfermo de TOC y también se le arranca moto',NoAgresivo
'Boric Oye Maite necesito algún alboroto se olviden de me junte asesino Palma Salamanca',NoAgresivo
'Borra ésta wea al toque sangana culia Me importan tres hectáreas de tula no entendai DELETE THIS MARACA CONCHETUMADRE',Agresivo
'Borraste tuit igual te quiero decir quién veni tratar de flojos tú weona tonta ni vivir de sacarse fotos pelota fuera esforzado Más entraste estudiar derecho después de horrible te quedó cara no te pescó nadie fea culiá',Agresivo
'Bravo Ceci Perez usted mas pantalones están gobierno',NoAgresivo
'BRIANNA TE DEDICO MI MAS SINCERO HIJA DE LA TROLA LLEGASTE A PURO CAGAR EL FANDOM MARACA Y LA CTM TE PASEO DE LAO A LAO FEA CULIÁ',Agresivo
'Buena ejemplar generosa serena luminosa qué mujer maravillosa nadie merece tanto dolor',NoAgresivo
'Buenad noches mi distinguida y bella Dama pases bendecida noche saludos de eterno enamorado respeto',NoAgresivo
'buenas dias todas mujeres menos buscan aprobación masculina me caen de verga no me hablen',Agresivo
'Buenas Noches @quiskillosa no me quiero dormir darte gracias tu apoyo mujeres tu pocas leales humildes desinteresadas honor tu apoyo Gracias tu me INSPIRAS',NoAgresivo
'Buenas noches todas mujeres hermosas de Twitter menos mi crush no me quiere',NoAgresivo
'Buenas noches Que tengan excelente semana Dios no mandes mas señales ya señora #bachelet debe renunciar',NoAgresivo
'Buenas noticias EEUU y mundo La diversidad mujeres cordura respeto derechos y libertades acotando al exceso intransigente Una puerta esperanza@gpscongreso )@PSOE',NoAgresivo
'Buenas tardes MENOS quienes pinche vida se han manifestado violencia contra mujeres',NoAgresivo
'Bueno actúan ladrones ausadores Es cosa depreguntarle al hijo de Bachelet',NoAgresivo
'Buenos días  Bella  hermosa  preciosa  fabulosa  fantástica  perfecta  sensual  sexy  maravillosa mujer  Qué tengas hermoso día Dios te bendiga éxitos',NoAgresivo
'Buenos días y buenas noticias  En discurso conocer victoria senadora Warren dice  resistencia comenzó mujeres',NoAgresivo
'Cabros #Matthei y #Bachelet seguir mismo Sean inteligente Tenemos más opciones al menos #voto4 y mi familia tb',NoAgresivo
'Cacharon anda hablando sacoweas mitomano de @joseantoniokast delegada de ONU Michelle Bachelet Algún día meteremos preso calumnias este conchesumadretarde o temprano pagará vago qlio',Agresivo
'Cada día más enamorado de mujer me gusta decírselo de todas formas todos lenguajes través de todas maneras',NoAgresivo
'Cada día queda más claro mierda de persona tonta weona ERES UNA MIERDA DE PERSONA TERESA  MISERABLE BASURA  ',Agresivo
'Cada vez me sorprende menos idiotez humana imbécil y corazon weona pitia sentimientos Loca de patio ya viera ella esas condiciones pido karma funcione y luegocon bruta…',Agresivo
'cállate hueona tonta estás así dp te vas andar desmayando',Agresivo
'Cállate maraca CTM no tienes ni pedazo de brillo boliviana ql #VamosLaU',Agresivo
'Callate pinche perra sarnosa valiente y no Por no amarras tu asqueroso osico pinche puta no quienes te estas metiendo maldita perra',Agresivo
'Cállate tonta weona',Agresivo
'callate tonta weona se te ocurre ofender gente semejante brutalidad…',Agresivo
'cállate vo vieja culiá',Agresivo
'Callen enferma facha retrógrada cara de raja asquerosa ¡con qué moral Weona loca anda vistar viejitos de punta peuca y quédate encerrada ',Agresivo
'calllate voz perra asquerosa',Agresivo
'Camila Vallejo chv PERRA CULIÁ ME CAGASTE EL AÑO ENTERO EN LA U MARACA',Agresivo
'care caballo culia andai hablando weas maraca conchetumare',Agresivo
'CARE RAJA Van RysselVerga le saca pañales y chanchos viejos de Punta Peuco',Agresivo
'Carismática censilla humilde talentosa bondadosa bella simpatica maravillosa genial perfecta Son palabras encontré definir extraordinaria mujer Sos mi ídola @flor_vigna',NoAgresivo
'Carmen Madigoitia vieja culiá LO SIENTO NACIÓ VIEJA CULIÁ Y VA A MORIR VIEJA CULIÁ Tiene cerebrin weona siento cerebrin y díganle blusa amarilla parece vaca hepatitis',Agresivo
'Celebrando vida de maravillosa mujer hermana vida regaló',NoAgresivo
'Cerra culoq esos descerebrados son apañadosdespués lloras represión puta barata',Agresivo
'Chana culia ganas de desaparezcan todas escorias tu Denuncien maraca hagan vida miserable #SigridAntonella',Agresivo
'Chandososera tu puta madregonorrea asquerosaPerra hijueputamalparidagaminapirobano nacistesino te tiraron manga',Agresivo
'CHAO BORIC CHAO ORSINI villegas dice clarito',NoAgresivo
'che chilenito jugás re mal Y K HUEA MARACA CULIA TE VAMOH A MATARTE TAY VIA ',Agresivo
'chicas t digan q estas r perra gran chamuyo',Agresivo
'Chicos respetar y apoyar mujeres tambien hay dejar de insultarlas y de cagarlas otras personas Recuerden presentar apoyo fotos no quiere decir mágicamente sean buenas personas ',NoAgresivo
'Chile malo Cállate maraca reculia sapa y conchetumadre fea culia te vai puraz falazias aweona ',Agresivo
'Chilenas son lindas amo hablan no se dejen de pinche gente envidiosa ',NoAgresivo
'Chuuuu Se entiende amenaza de ayer de Bachelet Bolsonaro Eventual ministro de Brasil anuncia disposición investigar presuntos financiamientos Chile (Campaña Bachelet Ominami-MEO y NM) ',NoAgresivo
'Cierra ese hocico inmundo maraca conchetumare Ademas de facha mal culiá',Agresivo
'Ciertamente me llevó mucho corazón juro valió cosa hice La y afirmo seguridad amor de mi vida ',NoAgresivo
'Claramente Macarena tienes cabeza mierda sino vas decir nada interesante mejor calla weona tonta',Agresivo
'Claro q tú sigue defendiendo así argumentos q llegarás lejos Nadie culpabiliza mujeres se indica q mujer q se puso moralmente estupenda diciendo q no quería cantar canción q ella consideraba machista novio impresentable q trata carne',NoAgresivo
'Claro Sabias palabras El odio al hombre viral y no justo Los hombres condenamos bestias maltratan sean sexo sea',NoAgresivo
'Comisión de “Ética”eso quedará NADA Estas mierdas q quieren nadie controla',NoAgresivo
'Como asi  posible novia y no pensar mujer mas hermosa y maravillosa universo',NoAgresivo
'Como TAN CONCHETUMADRE PERRA DE MIERDA ',Agresivo
'Cómo mina le estuvo chupando medias Bachelet 4 años pensé se llevaría onu',NoAgresivo
'Como le duele al mundo zurdeque aparte de despedida digna (de dia y condiciones claras) Haitianos se vean felices de salir de pais al se les trajo engañados sufrir La alegria de partir prueba fracasado plan migratorio de Bachelet',Agresivo
'Como señalamos primer día Dip @gabrielboric cometió tremenda imprudencia gobierno no asume problema',NoAgresivo
'Como me encantaría encontrar mujer me culie asi',Agresivo
'Cómo mienten estos desgraciados No son capaces de reconocer Michelle Bachelet trajo engañados haitianos después de dejar Chile deuda externa de 182000 millones de dólares  Que agradezcan al Presidente @sebastianpinera pudo llevarlos de vuelta ',NoAgresivo
'Como no te vas sentir perra tienes cara de pug y cuerpo de chihuahueño hija de tú puta madre',Agresivo
'COMO PODI SER TAN CABEZA HUECA MARACA CULIA OJALA TE ATROPELLE UN CAMION A VER SI GUSTA @MilagrosBravo06 BESITOS',Agresivo
'Cómo pudieron panistas no valorar maravillosa mujer y dejarla  Bien tia tatis saludos',NoAgresivo
'Como existir gente piense tonta weona  Cuando 4 personas te aborden te roben te violen te golpeen hasta aburrirse me cuentas sigues viendo tu y otros civiles algo de abuso hizo detective Anda psiquiatra  tonta weona ',Agresivo
'Como represión tonta weona mira queman bastaste weona tu publicación no muestras todo…',Agresivo
'Cómo se le ocurre Señora Tintori pedir venga Venezuela vieja comunista parcializada de Bachelet Con razón nadie toma serio',Agresivo
'Comparte nalgas y devuelve robado perra Asquerosa prostituta de correista Mataste tu mozo robarle Pero pronto estarás presa zorra',Agresivo
