A,B
'ASI COMO LA DESCARADA PUTABARATA ACTRIZPORNO MAGGIECIVANTOS FOLLACON EL PERVERTIDOPEDOFILO VIOLADORDEMENORES XQ NO MUESTRA COMO QUEDA CON EL SOLO PARAFOLLAR ES UNA PERRAASQUEROSA maggiecivantos SEFOLLA UN VIOLADORDEMENORES DROGADAYBORRACHA LA UNICAMANERA DFOLLAR PROSTITUTABARATA',Agresivo
'Asi convicciones Bachelet/ falta digan murieron causa natural ',NoAgresivo
'Asi comando M Bachelet pidio Julian Elfenbein acepto entrevistara Mauricio Bustamante La Muda',NoAgresivo
'ASI SE HABLA‼️‼️‼️‼️JOSE ANTONIO COLOMA REVENTO A GB‼️‼️‼️‼️Insolente ignorante entendido absolutamente',NoAgresivo
'Asi resto disfrazan personas crean locas quedar duques seguir ejerciendo violencia mujeres exageradas',Agresivo
'Atentos Camioneros reaccionan frente alza Diesel Subiran tarifas servicios transporte traduce alza precios TODO Con Bachelet paraban Pais Pinera suben tarifas MISERABLES',NoAgresivo
'Atrosh Boric reuna asesino',NoAgresivo
'aww grisi sabes te quiero muchisisismo mujer Eres asombrosa Sigue asi jamás te detengas ) te quiero te quieroo',NoAgresivo
'Ay tonta weona La rusia pobla Weona aprende leer Cuanto te pagan chupar pico gobierno A region q eligio inculeable favor sanciones drásticas',Agresivo
'bloqueo maraca culia bruffinelli dije weona pais condena verdad',Agresivo
'cuica colectivero eres simple taxista vay respondi te crei maraca culia',Agresivo
'Bachelet elegir equipos trabajo jajajaja elige murieron tantos chilenos 27/F LasCarasDeLaMoneda',Agresivo
'Bachelet 2005 video similar Goldborne comparenlo La dif MB usa muerte padre LG usa salio',NoAgresivo
'Bachelet advierte Bolsonaro vigilará DDHH Ya encargo informes situacion Brasil Caval ilustraciones Diezzel Kunst',NoAgresivo
'Bachelet avisa Bolsonaro vigilará respeto DDHH Brasil Y Venezuela Y Nicaragua Y Cuba',NoAgresivo
'Bachelet celebrando 11 septiembre jajajajaja csm xD',NoAgresivo
'BACHELET CREA RED DE PARQUES PROTEGUDOS DE LA PATAGONIA PIÑERA LE BAJA EL PRESUPUESTO Ministerio ciencia tecnologia Y Pinera baja presupuesto',NoAgresivo
'Bachelet graciosa vigilar Bolsonaro cometan Brasil violaciones derechos Senora mbachelet sabe está ocurriendo Venezuela',NoAgresivo
'Bachelet está mas preocupada hipotetica violacion futura DDHH Brasil violaciones cronicas permanentes DDHH Cuba Venezuela Nicaragua',NoAgresivo
'Bachelet monigote Gobierno Velasco Y Lagos más sepa mando medios cagazos',Agresivo
'BACHELET HASTA ULTIMO MINUTO HACIENDO DAÑO A CHILE  El reajuste pago Alsacia acordo dias termino gobierno BACHELET El documento establecio aumento pago pasajero transportado $5201 Estado cancelar retroactiva',Agresivo
'Bachelet cumplio cuota ONU exigia puesto alta comisionada Derechos Humanos',NoAgresivo
'Bachelet quema más quema baila pena rabia nostalgia',NoAgresivo
'Bachelet miente rie cara',NoAgresivo
'Bachelet solucion primarias vote',NoAgresivo
'Bachelet moral etica exigir presidente recien electo aun menciona pasa Venezuela Cuba',NoAgresivo
'Bachelet tiempo ir Venezuela está ocupada vigilando Bolsonaro real peligro humanidad ',NoAgresivo
'Bachelet promete extender metro imagino forma qe prometio Biotren Coronel',Agresivo
'Bachelet secuaces pagar cárcel efectiva Paredon arruinar Patria ',NoAgresivo
'Bachelet Tsunami llegaria Bolivia  Creo metio 5 chicles boca',Agresivo
'Bachelet habria advertido peligro tsunami Santiago Bolivia',NoAgresivo
'Bachelet presidente republica Chile podria declaraciones esperar llegada Stgo',NoAgresivo
'Barbara Ctm mas mal te caiga alguien puedes sacarle madre fallecio juega maraca culia',Agresivo
'Barbara mujer maravillosa recolecta juguetes estado regalarlos navidad ninos ninas escasos recursos',NoAgresivo
'Básicamente esperan Bachelet aquellos quieren bonos',NoAgresivo
'Bella inteligente maravillosa Orgullosas tus fans Una mujer extraordinaria ',NoAgresivo
'Bellas palabras companera Carmen Andrade recordando mujeres pobladoras formaron aprendizaje feminismo sentidos',NoAgresivo
'Benditas aquellas mujeres decidieron quedarse casa ninas pelis redes sociales salieron echar desmadre portarse mal',NoAgresivo
'Besar mujer apretarle nalgas  falta respeto',Agresivo
'BESITOS TERE LA GORRIADA D4L SIGLO DEJATE DE ESCRIBIR IDIOTESES PREOCUPATE DE QUE NO TE SIGAN GORRIANDO TAN SEGUIDO Y DE SEGUIR MENDIGANDO PARA TU FUNDACION JJAJAJJJAJA ME HACEN TANTO REIR SOBRETODO CIA DO HABLAN DE LA GORDI LOS COMUNACHOS Y DEMASya verán calles',Agresivo
'Bitar bachelet mujer integra CABAL jajajajaja chispoteo Tolerancia0/Villegas q CAVAL JA',NoAgresivo
'Bitar habla pura tonteras Jubile senor  YO soy derecha NM claramente Bachelet NO liderazgo',NoAgresivo
'Bocachancla Feminazi vuelvas follar calle puta barata cuidado bolso vaya te roben',Agresivo
'Bolsonaro 24 arrasado elecciones Bachelet velará DDHH Brasil Cuánta diligencia senora mbachelet asesinatos Dicaduras Venezuela Nicaragua',NoAgresivo
'Boric Boric ten dignidad ándate',NoAgresivo
'Boric enloda parlamento antipatriota El sale Chile pasaporte diplomático representante Estado',NoAgresivo
'boric defensor delincuente comun Palma Salamanca mato Jaime Guzmán ademas asesino Brasil',NoAgresivo
'Boric pasa culo Chile',Agresivo
'Boric Sinverguenza',NoAgresivo
'Boric trajo Punta Arenas feminazi preferida',NoAgresivo
'Boric Mina validar asesinato impune senadores',NoAgresivo
'Boric vas Tumbo TumboParece aprendes',NoAgresivo
'Boricun pobre diablo enfermo TOC tambien arranca moto',NoAgresivo
'Boric Oye Maite necesito algun alboroto olviden junte asesino Palma Salamanca',NoAgresivo
'Borra wea toque sangana culia Me importan hectáreas tula entendai DELETE THIS MARACA CONCHETUMADRE',Agresivo
'Borraste tuit te quiero veni tratar flojos tu weona tonta vivir sacarse fotos pelota esforzado Más encima entraste estudiar derecho despues horrible te quedo cara te pesco fea culiá',Agresivo
'Bravo Ceci Perez mas pantalones están gobierno',NoAgresivo
'BRIANNA TE DEDICO MI MAS SINCERO HIJA DE LA TROLA LLEGASTE A PURO CAGAR EL FANDOM MARACA Y LA CTM TE PASEO DE LAO A LAO FEA CULIA',Agresivo
'Buena ejemplar generosa serena luminosa mujer maravillosa merece dolor',NoAgresivo
'Buenad noches distinguida bella Dama pases bendecida noche saludos eterno enamorado respeto',NoAgresivo
'dias mujeres buscan aprobacion masculina caen verga hablen',Agresivo
'Buenas Noches quiskillosa quiero ir dormir darte gracias tu apoyo mujeres tu leales humildes desinteresadas honor tu apoyo Gracias tu INSPIRAS',NoAgresivo
'Buenas noches mujeres hermosas Twitter crush',NoAgresivo
'Buenas noches Que tengan excelente semana Dios mandes mas senales sabemos senora bachelet renunciar',NoAgresivo
'Buenas noticias EEUU mundo La diversidad mujeres cordura respeto derechos libertades acotando exceso intransigente Una puerta esperanzagpscongreso )PSOE',NoAgresivo
'Buenas tardes MENOS pinche vida manifestado violencia mujeres',NoAgresivo
'Bueno actuan ladrones ausadores Es cosa depreguntarle hijo Bachelet',NoAgresivo
'Buenos dias  Bella  hermosa  preciosa  fabulosa  fantástica  perfecta  sensual  sexy  maravillosa mujer  Que tengas hermoso dia Dios te bendiga exitos',NoAgresivo
'Buenos dias noticias  En discurso victoria senadora Warren  resistencia comenzo mujeres',NoAgresivo
'Cabros Matthei Bachelet seguir Sean inteligente Tenemos más opciones voto4 familia tb',NoAgresivo
'Cacharon anda hablando sacoweas mitomano joseantoniokast delegada ONU Michelle Bachelet Algun dia meteremos preso calumnias conchesumadretarde temprano pagará vago qlio',Agresivo
'Cada dia más enamorado mujer gusta decirselo formas lenguajes traves maneras',NoAgresivo
'Cada dia queda más claro mierda persona tonta weona ERES UNA MIERDA DE PERSONA TERESA  MISERABLE BASURA  ',Agresivo
'Cada sorprende idiotez humana imbecil corazon weona pitia sentimientos Loca patio viera condiciones pido karma funcione luegocon bruta…',Agresivo
'cállate hueona tonta estás asi dp te vas andar desmayando',Agresivo
'Cállate maraca CTM tienes pedazo brillo boliviana ql VamosLaU',Agresivo
'Callate pinche perra sarnosa valiente Por amarras tu asqueroso osico pinche puta sabes te metiendo maldita perra',Agresivo
'Cállate tonta weona',Agresivo
'callate tonta weona te ocurre ofender gente semejante brutalidad…',Agresivo
'cállate vo vieja culiá',Agresivo
'Callen enferma facha retrograda cara raja asquerosa moral Weona loca anda vistar viejitos punta peuca quedate encerrada ',Agresivo
'calllate voz perra asquerosa',Agresivo
'Camila Vallejo chv PERRA CULIA ME CAGASTE EL AÑO ENTERO EN LA U MARACA',Agresivo
'care caballo culia andai hablando weas maraca conchetumare',Agresivo
'CARE RAJA Van RysselVerga saca panales chanchos viejos Punta Peuco',Agresivo
'Carismática censilla humilde talentosa bondadosa bella simpatica maravillosa genial perfecta Son palabras encontre definir extraordinaria mujer Sos idola florvigna',NoAgresivo
'Carmen Madigoitia vieja culiá LO SIENTO NACIO VIEJA CULIA Y VA A MORIR VIEJA CULIA Tiene cerebrin weona siento cerebrin diganle blusa amarilla vaca hepatitis',Agresivo
'Celebrando vida maravillosa mujer hermana vida regalo',NoAgresivo
'Cerra culoq descerebrados tus apanadosdespues lloras represion puta barata',Agresivo
'Chana culia ganas desaparezcan escorias tu Denuncien maraca hagan vida miserable SigridAntonella',Agresivo
'Chandososera tu puta madregonorrea asquerosaPerra hijueputamalparidagaminapirobano nacistesino te tiraron manga',Agresivo
'CHAO BORIC CHAO ORSINI villegas clarito',NoAgresivo
'che chilenito jugás re mal Y K HUEA MARACA CULIA TE VAMOH A MATARTE TAY VIA ',Agresivo
'chicas t digan q r perra chamuyo',Agresivo
'Chicos respetar apoyar mujeres tambien dejar insultarlas cagarlas personas Recuerden presentar apoyo fotos mágicamente personas ',NoAgresivo
'Chile malo Cállate maraca reculia sapa conchetumadre fea culia te vai puraz falazias aweona ',Agresivo
'Chilenas lindas amo hablan dejen pinche gente envidiosa ',NoAgresivo
'Chuuuu Se entiende amenaza Bachelet Bolsonaro Eventual ministro Brasil anuncia disposicion investigar presuntos financiamientos Chile (Campana Bachelet OminamiMEO NM) ',NoAgresivo
'Cierra hocico inmundo maraca conchetumare Ademas facha mal culiá',Agresivo
'Ciertamente llevo tiempo conseguir corazon juro valio cosa hice La verdad afirmo seguridad amor vida ',NoAgresivo
'Claramente Macarena tienes cabeza mierda vas interesante calla weona tonta',Agresivo
'Claro q tu defendiendo asi tus argumentos q llegarás lejos Nadie culpabiliza mujeres indica q mujer q puso moralmente estupenda diciendo q queria cantar cancion q consideraba machista novio impresentable q carne',NoAgresivo
'Claro Sabias palabras El odio hombre viral justo Los hombres condenamos bestias maltratan sexo',NoAgresivo
'Comision Eticaeso quedará NADA Estas mierdas q quieren controla',NoAgresivo
'Como asi  novia pensar mujer mas hermosa maravillosa universo',NoAgresivo
'Como eres TAN CONCHETUMADRE PERRA DE MIERDA ',Agresivo
'Como mina chupando medias Bachelet 4 anos pense llevaria onu',NoAgresivo
'Como duele mundo zurdeque aparte despedida digna (de dia condiciones claras) Haitianos vean felices salir pais trajo enganados sufrir La alegria prueba fracasado plan migratorio Bachelet',Agresivo
'Como senalamos dia Dip gabrielboric cometio tremenda imprudencia gobierno asume problema',NoAgresivo
'Como encantaria encontrar mujer culie asi',Agresivo
'Como mienten desgraciados No capaces reconocer Michelle Bachelet trajo enganados haitianos despues dejar Chile deuda externa 182000 millones dolares  Que agradezcan Presidente sebastianpinera llevarlos vuelta ',NoAgresivo
'Como te vas sentir perra tienes cara pug cuerpo chihuahueno hija tu puta madre',Agresivo
'COMO PODI SER TAN CABEZA HUECA MARACA CULIA OJALA TE ATROPELLE UN CAMION A VER SI GUSTA MilagrosBravo06 BESITOS',Agresivo
'Como pudieron panistas valorar maravillosa mujer dejarla ir  Bien tia tatis saludos',NoAgresivo
'Como existir gente piense tonta weona  Cuando 4 personas te aborden te roben te violen te golpeen aburrirse cuentas sigues viendo tu civiles abuso detective Anda psiquiatra  tonta weona ',Agresivo
'Como represion tonta weona mira queman bastaste weona tu publicacion muestras todo…',Agresivo
'Como ocurre Senora Tintori pedir venga Venezuela vieja comunista parcializada Bachelet Con razon toma serio',Agresivo
'Comparte tus nalgas devuelve robado perra Asquerosa prostituta correista Mataste tu mozo robarle Pero pronto estarás presa zorra',Agresivo
'Comparto dichos Bachelet preocupacion genera eleccion Bolsonaro respeto DDHH Ahora x razon seria oportuno viaje suyo Venezuela Nicaragua gravisima situacion DDHH ',NoAgresivo
'Con enorme gusto agradecimiento recibi Consejo Juristas Estado Fundacion Lupita presea Gran mujer Morelos 2018',NoAgresivo
'Con gravedad doloroso sufrimiento d compatriotas d CasaBlanca voraz incendio espero q Bachelet suspenda vacaciones',NoAgresivo
'CON LOS ABUELITOS NO PERRA CONCHETUMADRE ',Agresivo
'Con perra vieja conchetumadre Va quedar cagá',Agresivo
'Con dinero lujos validando asesino Senador Jaime Guzmán',NoAgresivo
'Con politicos calana mal pronostico pa’is',NoAgresivo
'Con cara placer mira mujer polla zorra',Agresivo
'Con salio HDP diciendole senora tuviera cuidado madre mujer com…',Agresivo
'te cagando tonta weona ojos ti',Agresivo
'respeto te mereces eres perra asquerosa',Agresivo
'Con ustedes cara mono feo conchetumadre Tobal Una madre perra culia troll Twitter webiando hinchas ColoColo Si carita lujo andar webiando Además puteas bloquea feo re culiao No compren',Agresivo
'Conchatumadre tonta weona pudrete ',Agresivo
'Conchetumadre perra culiá te odio',Agresivo
'Condenaremos accion palabra denigre valiosa integridad mujeres No violencia mujer',NoAgresivo
'CONMIGO NO PERRA CONCHETUMADRE CONMIGO NO',Agresivo
'Conozco mujeres dejaron maquillaje atrás cubria tristeza lucen más bellas',NoAgresivo
'Consternada fallecimiento Carmen Alborch Era mujer maravillosa apreciaba sinceramente Un abrazo suyos companeros PSOE',NoAgresivo
'Contentos están invasores haitianos complices nefasta Bachelet antigua izquierda jesuitas ong jode pais LAW linea aerea fraudulenta proinmigrantes blandengues autoridades haitianas q deshacen cachos superocho',Agresivo
'Continuamos estrategia promocion autonomia economica mujeres Medellin',NoAgresivo
'Copa America | Que innecesario Bachelet Presidenta oportunista arregle educacion',NoAgresivo
'Correcto saben derecha timorata quieren seguir sentados congreso ganando sueldo',NoAgresivo
'cosa minutos Boric Orsini sinceren relacion sentimentalRossi llora desconsolado',NoAgresivo
'Coti carita loca Camilo tenia extracto filiacion limpio La weona enferma hilo mente más rara tuya Ojalá ejerzas medico eres peligro',Agresivo
'Creo mujeres hombres cualquiera formas feminizacion hombre masculinizacion mujer cualquiera ismos',NoAgresivo
'Crestano habia visto imágenes d MIERDA d mujer q merece llamarse nana Q impotencia saco cresta Maldita ',Agresivo
'CTMvuelve colegio tienes retraso mentalESTUPIDA DE MIERDA WN Si mapuchesNi chalecos sabrian tejer Chile wn Habriamos q pagarle sueldo parásito reyY PaisPodemos eligir presiones Tonta weona ',Agresivo
'Cual aporte weona sociedad Dividir aun más pais Tonta culia ',Agresivo
