A,B
'Una_di0000 mujer_nc0s000 maravillosa_aq0000 integra_vmip000 y_cc luchadora_aq0000 Hoy_rg me_p0000000 alegra_vmip000 que_cs el_da0000 pais_nc0s000 pida_vmsp000 ',NoAgresivo
'Al_np00000 igual_aq0000 que_pr000000 Bachelet_np00000 me_p0000000 hice_vmis000 poderoso_aq0000 sin_sp000 hacer_vmn0000 nada_pi000000 ',Agresivo
'Alfredo_np00000 me_pp000000 dijo_vmis000 que_cs en_sp000 Latinoamerica_np00000 las_da0000 chilenas_aq0000 y_cc argentinas_aq0000 son_vsip000 las_da0000 mas_rg lindas_aq0000 Justin_np00000 ',NoAgresivo
'amamos_vmip000 a_sp000 las_da0000 chilenas_aq0000 chexico_aq0000 es_vsip000 real_aq0000 las_da0000 chilenas_aq0000 son_vsip000 muy_rg lindas_aq0000 ',NoAgresivo
'BAJA_vmip000 EL_da0000 CARTEL_nc0s000 MARACA_np00000 CULIA_np00000 JIRAFA_np00000 Y_cc LA_da0000 RECONCHETUMARE_np00000 SALE_vmip000 QUE_cs NO_rn VEO_vmm0000 asi_aq0000 vamos_vmip000 a_sp000 estar_vmn0000 obvio_aq0000 ',Agresivo
'chilenos_aq0000 acepten_vmsp000 que_cs juegan_vmip000 mal_rg eh_i TE_pp000000 VAI_np00000 EN_sp000 PURA_np00000 FALAZIA_np00000 MARACA_np00000 CULIA_np00000 SOMOS_ap0000 LA_da0000 LEY_nc0s000 QUE_cs WEA_np00000 ',Agresivo
'con_sp000 *_fz buscadora_aq0000 de_sp000 atencion_nc0s000 mereces_aq0000 ser_vsn0000 violada_vmp0000 Nosotros_pp000000 los_da0000 fans_nc0p000 internacionales_aq0000 odiamos_vmip000 tu_dp0000 asquerosa_aq0000 voz_nc0s000 nasal_aq0000 Para_sp000 de_sp000 actuar_vmn0000 linda_aq0000 perra_np00000 te_pp000000 ves_vmip000 horrible_aq0000 ',Agresivo
'Donde_pt000000 hay_vmip000 un_di0000 hombre_nc0s000 como_cs el_da0000 atractivo_nc0s000 de_sp000 buena_aq0000 familia_nc0s000 rodeado_aq0000 de_sp000 mujeres_nc0p000 bellas_aq0000 y_cc donde_pr000000 hay_vmip000 una_di0000 mujer_nc0s000 como_sp000 yoes_vsip000 una_di0000 historia_nc0s000 de_sp000 dolor_nc0s000 ',NoAgresivo
'Es_vsip000 un_di0000 ángel_nc0s000 Ha_vaip000 sido_vsp0000 una_di0000 maravillosa_aq0000 historia_nc0s000 de_sp000 amor_nc0s000 y_cc de_sp000 altruismo_nc0s000 Esta_dd0000 mujer_nc0s000 ha_vaip000 sido_vsp0000 un_di0000 hada_nc0s000 para_sp000 nosotros_pp000000 La_da0000 compramos_vmip000 muy_rg barata_aq0000 por_sp000 cierto_aq0000 en_sp000 un_di0000 paquete_nc0s000 ',NoAgresivo
'Escoge_vmip000 a_sp000 una_di0000 mujer_nc0s000 de_sp000 la_da0000 cual_pr000000 puedas_vmsp000 decir_vmn0000 hubiera_vasi000 podido_vmp0000 escogerla_np00000 más_rg bella_aq0000 pero_cc no_rn mejor_aq0000 ',NoAgresivo
'Ese_pd000000 va_vmip000 a_sp000 ser_vsn0000 el_da0000 sello_nc0s000 de_sp000 mi_dp0000 Gobierno_np00000 dejar_vmn0000 una_di0000 democracia_nc0s000 más_rg transparente_aq0000 etica_aq0000 y_cc legitima_aq0000 --_fg Presidenta_np00000 Bachelet_np00000 ',Agresivo
'Hay_vaip000 dos_dn0000 cosas_nc0p000 infinitas_aq0000 El_da0000 universo_nc0s000 y_cc el_da0000 ahueonaje_nc0s000 de_sp000 los_da0000 que_pr000000 votaron_vmis000 por_sp000 Bachelet_np00000 Y_cc de_sp000 la_da0000 primera_ao0000 no_rn estoy_vmip000 seguro_aq0000 Einstein_np00000 ',NoAgresivo
'Indigena_aq0000 zorraguarra_nc0s000 moro_nc0s000 por_sp000 gente_nc0s000 como_cs tu_pp000000 dormi_vmis000 en_sp000 la_da0000 cárcel_nc0s000 chusmaesquizofrenicabipolar_vmn0000 loca_aq0000 de_sp000 mierda_nc0s000 persona_nc0s000 tan_rg baja_aq0000 mamarrachaasquerosasucia_nc0s000 prostituta_nc0s000 mujer_nc0s000 de_sp000 compania_nc0s000 verguenza_nc0s000 para_sp000 tu_dp0000 raza_nc0s000 ',Agresivo
'La_da0000 ciencia_nc0s000 me_p0000000 reconoce_vmip000 como_cs mujer_nc0s000 pues_cs por_sp000 mi_dp0000 parte_nc0s000 tambien_vmsp000 la_da0000 reconozco_vmip000 como_cs mujer_nc0s000 luchadora_aq0000 y_cc hermosa_aq0000 le_pp000000 deseo_vmip000 una_di0000 gran_aq0000 participacion_nc0s000 en_sp000 el_da0000 certamen_nc0s000 y_cc ojalá_i se_pp000000 lo_pp000000 gane_vmsp000 ',NoAgresivo
'las_da0000 chilenas_aq0000 son_vsip000 ordinarias_aq0000 QUE_cs HUEA_vmip000 CTM_zm COMO_sp000 QUE_pt000000 ORDINARIAS_di0000 MARACA_np00000 CULIA_np00000 DIMELO_np00000 A_sp000 LA_da0000 CARA_nc0s000 PO_pp000000 PERRA_vmip000 CULIA_np00000 ',Agresivo
'ME_pp000000 CAGASTE_vmip000 LA_da0000 VIDA_nc0s000 PERRA_vmip000 CONCHETUMADRE_sp000 Que_de0000 pena_nc0s000 tu_dp0000 vida_nc0s000 ',Agresivo
'Michelle_np00000 Bachelet_np00000 prepara_vmip000 hasta_sp000 un_di0000 video_nc0s000 para_sp000 su_dp0000 dificil_aq0000 visita_nc0s000 a_sp000 la_da0000 zona_nc0s000 costera_aq0000 del_sp000 Bio_np00000 Bio_np00000 httprbbcl/4x5g_z0 estamos_vmip000 esperando_vmg0000 ',NoAgresivo
'Mujer_nc0s000 si_cs tu_dp0000 belleza_nc0s000 la_pp000000 determina_vmip000 tu_dp0000 cuerpo_nc0s000 pronto_rg dejarás_vmip000 de_sp000 ser_vsn0000 bella_aq0000 pero_cc si_cs tu_dp0000 enfoque_nc0s000 está_vmip000 en_sp000 el_da0000 temor_nc0s000 a_sp000 Dios_np00000 amarlo_nc0s000 a_sp000 El_da0000 entonces_rg lo_da0000 serás_vmip000 para_sp000 siempre_rg serás_vmip000 digna_aq0000 de_sp000 alabanza_nc0s000 ',NoAgresivo
'Oie_np00000 perra_np00000 donde_cs quieres_vmip000 que_cs te_pp000000 rasque_vmsp000 JAJAJAJAJAJAJAJA_np00000 ',NoAgresivo
'Para_sp000 este_dd0000 Chile_np00000 la_da0000 putamaracachanchaculiá_nc0s000 es_vsip000 ella_pp000000 y_cc san_aq0000 se_p0000000 acabo_vmis000 ',Agresivo
'Por_sp000 el_da0000 simple_aq0000 hecho_nc0s000 de_sp000 ser_vsn0000 mujer_nc0s000 no_rn se_p0000000 tiene_vmip000 esa_dd0000 conciencia_nc0s000 de_sp000 genero_np00000 sino_cc que_pr000000 se_p0000000 adquiere_vmip000 en_sp000 un_di0000 proceso_nc0s000 que_pr000000 es_vsip000 una_di0000 maquinaria_nc0s000 que_cs cuando_cs la_da0000 activas_aq0000 ya_rg no_rn para_sp000 nunca_rg ',NoAgresivo
'Porque_cs yo_pp000000 le_pp000000 dije_vmis000 vo_np00000 me_p0000000 robai_vmis000 alguna_di0000 wea_nc0s000 maraca_aq0000 culia_np00000 te_pp000000 boto_vmip000 los_da0000 tres_dn0000 dientes_nc0p000 q_pr000000 te_pp000000 quedan_vmip000 ',Agresivo
'que_cs se_p0000000 creen_vmip000 las_da0000 chilenas_aq0000 insultando_vmg0000 a_sp000 Australia_np00000 QUE_pr000000 TE_pp000000 CREI_np00000 VO_pp000000 HUEONA_vaip000 MARACA_np00000 ANDA_vmip000 ACOSTARTE_di0000 PENDEJA_nc0s000 CULIA_np00000 ',Agresivo
'Se_p0000000 que_cs no_rn eres_vsip000 fácil_aq0000 creo_vmip000 que_cs eres_vsip000 una_di0000 mocosa_aq0000 pero_cc se_vmip000 que_cs eres_vsip000 la_da0000 mujer_nc0s000 mas_rg increible_aq0000 asombrosa_aq0000 y_cc maravillosa_aq0000 del_sp000 mundo_nc0s000 ',NoAgresivo
'Te_pp000000 amo_vmip000 me_p0000000 decia_vmis000 la_da0000 perra_np00000 que_pr000000 a_sp000 espaldas_nc0p000 me_p0000000 hacia_vmii000 la_da0000 guerra_nc0s000 jajajjaja_i ',NoAgresivo
'TE_pp000000 ODIO_vmis000 PUTA_np00000 CULIA_np00000 ME_pp000000 CAGASTE_vmip000 LA_da0000 VIDA_nc0s000 CONCHETUMADRE_sp000 TE_pp000000 ODIO_nc0s000 MARACA_np00000 DE_sp000 MIERDA_np00000 PUTA_np00000 CULIA_np00000 TE_pp000000 ODIO_vmis000 ',Agresivo
'TE_pp000000 PILLO_vmip000 EN_sp000 LA_da0000 CALLE_aq0000 Y_cc TE_pp000000 TIRO_vmip000 UNA_di0000 PIEDRA_nc0s000 MARACA_vmic000 CULIA_np00000 VO_np00000 SOY_vsip000 AWEONA_np00000 O_cc KE_rg TE_pp000000 VOY_vmip000 A_sp000 SACAR_vmn0000 LA_pp000000 CHUCHA_aq0000 RESPETA_vmip000 MARACA_np00000 CULIA_np00000 ENFERMA_z0 BASTARDA_np00000 ',Agresivo
'Tendre_np00000 vigilado_vmp0000 a_sp000 Bolsonaro_np00000 dijo_vmis000 Bachelet_np00000 A_np00000 Maduro_np00000 nadie_pi000000 le_pp000000 hizo_vmis000 esa_dd0000 advertencia_nc0s000 y_cc vaya_vmm0000 que_cs ha_vaip000 cometido_vmp0000 tantos_nc0p000 crimenes_nc0p000 y_cc violaciones_nc0p000 a_sp000 los_da0000 derechos_nc0p000 humanos_aq0000 Son_vsip000 cositas_nc0p000 ',Agresivo
'UDI_np00000 solicita_vmip000 a_sp000 Bachelet_np00000 pronunciarse_aq0000 por_sp000 entrega_nc0s000 de_sp000 asilo_nc0s000 no_rn es_vsip000 una_di0000 materia_nc0s000 propia_di0000 del_sp000 Alto_np00000 Comisionado_aq0000 para_sp000 los_da0000 Derechos_np00000 Humanos_np00000 sino_cc del_sp000 Alto_np00000 Comisionado_aq0000 para_sp000 los_da0000 Refugiados_np00000 Erro_np00000 el_da0000 tiro_nc0s000 la_da0000 UDI_np00000 o_cc es_vsip000 puro_aq0000 afán_nc0s000 politico_np00000 de_sp000 molestar_vmn0000 a_sp000 Bachelet_np00000 ',NoAgresivo
'Cadem_np00000 El_da0000 71_z0 %_ft no_rn le_pp000000 cree_vmip000 a_sp000 Bachelet_np00000 El_da0000 otro_di0000 29_z0 %_ft son_vsip000 weones_nc0p000 que_pr000000 constituyen_vmip000 su_dp0000 gabinete_nc0s000 ',Agresivo
'opinoenhora20_w si_cs bachelet_nc0s000 sale_vmip000 y_cc reconoce_vmip000 q_cs se_p0000000 equivoco_vmip000 en_sp000 actuar_vmn0000 con_sp000 el_da0000 corazon_np00000 pide_vmip000 disculpa_vmm0000 las_da0000 madres_nc0p000 entenderiamos_aq0000 Puede_vmip000 revertir_vmn0000 ',NoAgresivo
'PayaHop_np00000 Gracias_np00000 a_sp000 la_da0000 poblacion_nc0s000 la_da0000 bachelet_nc0s000 esta_vmip000 en_sp000 la_da0000 cima_nc0s000 pero_cc dejame_vmip000 decirte_vmsp000 hermano_nc0s000 q_cs la_pp000000 enora_aq0000 es_vsip000 una_pi000000 p_np00000 mal_rg nacida_aq0000 Eh_np00000 Yo_pp000000 tb_pp000000 puedo_vmip000 ',Agresivo
'MaiteOrsini_np00000 Debes_vmip000 ser_vsn0000 investigada_vmp0000 junto_aq0000 a_sp000 Boric_np00000 porque_cs has_vaip000 infrigido_vmp0000 normas_nc0p000 Constitucionales_aq0000 ',NoAgresivo
'Sicoticox_np00000 Pornito1_np00000 DerechaTuitera_np00000 si_rg apoyas_vmip000 a_sp000 Bachelet_np00000 eres_vsip000 lo_da0000 suficientemente_rg TONTO_nc0s000 para_sp000 no_rn entender_vmn0000 no_rn vale_vmip000 la_da0000 pena_nc0s000 discutir_vmn0000 contigo_nc0s000 ',NoAgresivo
'Asuma_vmm0000 mejor_rg que_cs su_dp0000 gobierno_nc0s000 no_rn ha_vaip000 hecho_vmp0000 nada_pi000000 contra_sp000 la_da0000 delincuencia_nc0s000 y_cc que_pr000000 Chile_np00000 ya_rg está_vmip000 harto_aq0000 senor_nc0s000 ministro_nc0s000 Su_dp0000 gobierno_nc0s000 es_vsip000 tan_rg malo_aq0000 como_cs el_da0000 de_sp000 Bachelet_np00000 No_rn se_pp000000 atreven_vmip000 a_sp000 poner_vmn0000 la_da0000 mano_nc0s000 dura_aq0000 que_cs la_da0000 gente_nc0s000 pide_vmip000 a_sp000 gritos_nc0p000 ',NoAgresivo
'Como_cs ceciliamorel_nc0s000 no_rn va_vmip000 a_sp000 ser_vsn0000 la_da0000 mujer_nc0s000 más_rg influyente_aq0000 de_sp000 Chile_np00000 Inteligente_np00000 asertiva_aq0000 empática_aq0000 distinguida_aq0000 y_cc buenamoza_nc0s000 cualidades_nc0p000 tan_rg poco_rg comunes_aq0000 en_sp000 La_da0000 Moneda_np00000 desde_sp000 hace_vmip000 tantos_di0000 anos_nc0p000 Felicitaciones_np00000 ',NoAgresivo
'Gano_vmip000 la_da0000 familia_nc0s000 Un_di0000 gran_aq0000 triunfo_nc0s000 para_sp000 la_da0000 familia_nc0s000 en_sp000 el_da0000 ultimo_aq0000 referendum_nc0s000 el_da0000 cual_pr000000 aclara_vmip000 que_cs el_da0000 matrimonio_nc0s000 solo_aq0000 es_vsip000 entre_sp000 un_di0000 hombre_nc0s000 y_cc una_di0000 mujer_nc0s000 ',NoAgresivo
'Tolerancia_nc0s000 0_z0 a_sp000 la_da0000 violencia_nc0s000 contra_sp000 la_da0000 mujer_nc0s000 Lipigas_np00000 firmo_vmip000 su_dp0000 compromiso_nc0s000 Sumate_np00000 tu_dp0000 tambien_nc0s000 ',NoAgresivo
'Bachelet_np00000 no_rn deberia_vmic000 ser_vsn0000 procesada_vmp0000 y_cc condenada_vmp0000 a_sp000 pagar_vmn0000 los_da0000 costos_nc0p000 de_sp000 devolver_vmn0000 a_sp000 su_dp0000 pais_nc0s000 a_sp000 los_da0000 haitianos_nc0p000 que_pr000000 ella_pp000000 misma_di0000 trajo_vmis000 enganados_aq0000 La_da0000 designan_vmip000 comisionada_aq0000 DDHH_np00000 de_sp000 ONUes_np00000 y_cc esto_pd000000 no_rn es_vsip000 acaso_rg abusar_vmn0000 de_sp000 la_da0000 inocencia_nc0s000 de_sp000 miles_pn000000 de_sp000 familias_nc0p000 que_pr000000 vieron_vmis000 vulnerados_vmp0000 sus_dp0000 derechos_nc0p000 ',NoAgresivo
'Cuál_pt000000 es_vsip000 el_da0000 problema_nc0s000 que_pr000000 Maite_np00000 Orsini_np00000 junto_aq0000 a_sp000 Boric_np00000 hayan_vasp000 visitado_vmp0000 a_sp000 Salamanca_np00000 Kast_np00000 se_p0000000 reunio_vmis000 con_sp000 asesinos_nc0p000 en_sp000 Punta_np00000 Peuco_np00000 ',NoAgresivo
'Las_da0000 Chilenas_np00000 tienen_vmip000 cara_nc0s000 de_sp000 indias_aq0000 JAJAJA_np00000 para_sp000 mi_pp000000 las_da0000 chilenas_aq0000 son_vsip000 las_da0000 mas_rg lindas_aq0000 de_sp000 latinoamerica_aq0000 son_vsip000 hermosas_aq0000 dejen_vmsp000 de_sp000 decir_vmn0000 huevadas_nc0p000 ',NoAgresivo
'ME_pp000000 QUERI_vmip000 WEAR_z0 PERRA_vmip000 CULIA_np00000 MY_pp000000 FRIENDS_vmic000 CONGRATULATIONS_vmii000 NICK_np00000 CHUPALA_z0 MARACA_np00000 SAL_np00000 DE_sp000 ACA_np00000 NADIE_pi000000 TE_pp000000 QUIERE_vmip000 CTM_np00000 ',Agresivo
'Por_sp000 que_pt000000 quitarle_vmsp000 a_sp000 una_di0000 mujer_nc0s000 -LRB-_word estupenda_aq0000 x_sp000 cierto_di0000 -RRB-_pr000000 el_da0000 encanto_nc0s000 de_sp000 sus_dp0000 curvas_nc0p000 Donde_cs hay_vaip000 masa_nc0s000 es_vsip000 donde_cs mejor_rg se_p0000000 pasa_vmip000 ',NoAgresivo
'Que_cs Diputados_np00000 del_sp000 Frente_rg Amplio_np00000 sabian_vmii000 de_sp000 la_da0000 reunion_nc0s000 de_sp000 Boric_np00000 con_sp000 el_da0000 asesino_nc0s000 Palma_np00000 Salamanca_np00000 ',NoAgresivo
'Que_cs espera_vmip000 la_da0000 derecha_nc0s000 para_sp000 pedir_vmn0000 la_da0000 destitucion_nc0s000 de_sp000 Maite_np00000 Orsini_np00000 y_cc Gabriel_np00000 Boric_np00000 por_sp000 reunirse_vmn0000 a_sp000 escondidas_np00000 con_sp000 un_di0000 asesino_nc0s000 ',NoAgresivo
'Que_cs fue_vsis000 lo_da0000 bueno_aq0000 que_pr000000 hice_vmis000 para_sp000 merecer_vmn0000 a_sp000 una_di0000 mujer_nc0s000 tan_rg maravillosa_aq0000 en_sp000 mi_dp0000 vida_nc0s000 ',NoAgresivo
'Que_cs lindo_aq0000 no_rn Con_sp000 cargo_nc0s000 a_sp000 nuestros_dp0000 impuestos_nc0p000 pagamos_vmip000 las_da0000 noches_nc0p000 de_sp000 farra_nc0s000 y_cc amor_nc0s000 por_sp000 Paris_np00000 de_sp000 los_da0000 diputados_nc0p000 ',Agresivo
'Quieren_vmip000 desviar_vmn0000 la_da0000 atencion_nc0s000 de_sp000 los_da0000 temas_nc0p000 más_rg importantes_aq0000 con_sp000 este_dd0000 asunto_nc0s000 Boric_np00000 ',NoAgresivo
'Respeta_vmip000 algo_pi000000 el_da0000 Diputado_aq0000 ',NoAgresivo
'Y_cc si_cs esposa_nc0s000 sabe_vmip000 que_cs la_da0000 trata_nc0s000 como_cs una_di0000 puta_nc0s000 barata_aq0000 aqui_rg Su_dp0000 mamá_nc0s000 tambien_vmsp000 la_da0000 chupa_vmip000 bien_rg ',Agresivo
'Las_da0000 mujeres_nc0p000 desean_vmip000 ser_vsn0000 amadas_nc0p000 no_rn porque_cs sean_vssp000 bonitas_aq0000 o_cc buenas_aq0000 o_cc bien_rg educadas_aq0000 o_cc graciosas_nc0p000 o_cc inteligentes_aq0000 sino_cc por_sp000 ser_vsn0000 ellas_pp000000 mismas_di0000 ',NoAgresivo
'Mi_dp0000 ex_aq0000 era_vsii000 re_rg celosa_aq0000 alta_aq0000 loca_aq0000 de_sp000 mierda_nc0s000 ',Agresivo
'Una_di0000 mujer_nc0s000 tiene_vmip000 derecho_nc0s000 a_sp000 estar_vmn0000 guapa_nc0s000 perfecta_aq0000 y_cc deseable_aq0000 Y_cc eso_pd000000 no_rn es_vsip000 provocacion_nc0s000 es_vsip000 arte_nc0s000 Y_cc el_da0000 resto_nc0s000 debe_vmip000 ser_vsn0000 respeto_nc0s000 y_cc educacion_nc0s000 ',NoAgresivo
'1_w Sube_np00000 desempleo_nc0s000 71_z0 %_ft 2_rg Baja_np00000 Ranking_np00000 Doing_np00000 Business_np00000 3_z0 Se_p0000000 contrae_vmip000 nuevamente_rg la_pp000000 la_pp000000 produccion_nc0s000 industrial_np00000 4_z0 Se_p0000000 anticipa_vmip000 debil_aq0000 IMACEC_np00000 par_nc0s000 Septiembre_np00000 Nooo_np00000 no_rn es_vsip000 el_da0000 gobierno_nc0s000 de_sp000 Michelle_np00000 Bachelet_np00000 Es_vsip000 Sebastián_np00000 Pinera_np00000 octubre_w 31_z0 de_sp000 2018_w Notaron_vmis000 nadie_pi000000 se_pp000000 escandaliza_vmip000 ',NoAgresivo
'3_dn0000 anos_nc0p000 de_sp000 trabajo_nc0s000 para_sp000 crear_vmn0000 Ministerio_np00000 de_sp000 Agricultura_np00000 Alimentos_np00000 Pesca_np00000 y_cc Recursos_np00000 Ayer_rg la_da0000 Presidenta_np00000 Bachelet_np00000 lo_pp000000 retiro_vmip000 del_sp000 Congreso_np00000 ',Agresivo
'4_z0 El_da0000 problema_nc0s000 de_sp000 fondo_nc0s000 acá_rg no_rn es_vsip000 Bachelet_np00000 ni_cc los_da0000 partidos_nc0p000 Hay_vmip000 que_cs cambiar_vmn0000 CON_sp000 SUMA_z0 URGENCIA_nc0s000 la_da0000 Constitucion_np00000 de_sp000 este_dd0000 pais_nc0s000 Como_cs sea_vssp000 ',NoAgresivo
'6_z0 Si_cs Twitter_np00000 fuera_vssi000 tan_rg influyente_aq0000 como_cs lo_da0000 pintan_vmip000 algunos_di0000 Ni_rg Bachelet_np00000 ni_cc Matthei_np00000 hubiesen_vasi000 pasado_vmp0000 a_sp000 segunda_ao0000 vuelta_nc0s000 ',NoAgresivo
'A_sp000 Bachelet_np00000 le_pp000000 preocupa_vmip000 Bolsonaro_np00000 pero_cc sus_dp0000 amigos_nc0p000 si_cs son_vsip000 super_rg inofensivos_aq0000 ',NoAgresivo
'a_sp000 Boric_np00000 Ahora_rg despues_rg de_sp000 la_da0000 Licencia_np00000 por_sp000 TOC_np00000 y_cc recaida_nc0s000 por_sp000 TAC_np00000 -LRB-_dn0000 Trastorno_np00000 antipatriota_aq0000 compulsivo_aq0000 -RRB-_np00000 ',Agresivo
'a_sp000 esa_dd0000 weona_nc0s000 yo_pp000000 la_pp000000 quemaria_aq0000 en_sp000 un_di0000 centro_nc0s000 de_sp000 concentracion_np00000 a_sp000 la_da0000 terrorista_nc0s000 de_sp000 mierda_nc0s000 si_cs era_vsii000 del_sp000 mir_nc0s000 nose_vmis000 que_cs webea_vmip000 DDHH_np00000 ',Agresivo
'A_sp000 esta_dd0000 hora_nc0s000 el_da0000 2010_w Bachelet_np00000 se_p0000000 iba_vmii000 a_sp000 dormir_vmn0000 con_sp000 un_di0000 chicle_nc0s000 en_sp000 el_da0000 velador_nc0s000 ',NoAgresivo
'A_sp000 la_da0000 mierda_nc0s000 todos_di0000 los_da0000 gnosticos_nc0p000 hijos_nc0p000 de_sp000 puta_nc0s000 y_cc su_dp0000 filosofia_nc0s000 barata_aq0000 parecen_vmip000 idiotas_np00000 Se_p0000000 han_vaip000 venido_vmp0000 a_sp000 cagar_vmn0000 en_sp000 la_da0000 vida_nc0s000 de_sp000 muchas_di0000 personas_nc0p000 con_sp000 esa_dd0000 secta_nc0s000 satánica_aq0000 ',NoAgresivo
'A_sp000 la_da0000 mujer_nc0s000 en_sp000 general_aq0000 le_pp000000 molesta_vmip000 la_da0000 mujer_nc0s000 estupenda_aq0000 y_cc no_rn es_vsip000 envidia_nc0s000 ni_cc celos_nc0p000 es_vsip000 su_dp0000 inseguridad_nc0s000 y_cc su_dp0000 aprendizaje_nc0s000 machista_aq0000 de_sp000 decadas_aq0000 ',NoAgresivo
'A_sp000 lo_da0000 mejor_aq0000 Maite_np00000 Orsini_np00000 andaba_vmii000 de_sp000 aranita_nc0s000 entro_vmip000 a_sp000 un_di0000 departamento_nc0s000 y_cc toco_vmip000 la_da0000 mala_aq0000 cuea_vmip000 que_cs estaba_vmii000 RPS_np00000 adentro_rg reunido_vmp0000 con_sp000 Gabriel_np00000 Boric_np00000 ',NoAgresivo
'A_sp000 los_da0000 medios_nc0p000 de_sp000 comunicacion_nc0s000 les_pp000000 encanta_vmip000 decirle_vmsp000 a_sp000 Bolsonaro_aq0000 Ultra_np00000 Derechista_np00000 pero_cc omiten_vmip000 decirle_nc0s000 a_sp000 Bachelet_np00000 Evo_np00000 Morales_np00000 a_sp000 kirchner_vmn0000 o_cc incluso_rg a_sp000 Maduro_np00000 Ultra_np00000 Izquierdistas_np00000 o_cc Ultra_np00000 Comunistas_np00000 A_sp000 ellos_pp000000 solo_rg Social_np00000 Democracia_np00000 ',NoAgresivo
'a_sp000 mi_pp000000 me_pp000000 caen_vmip000 muy_rg bien_rg las_da0000 chilenas_aq0000 son_vsip000 muy_rg lindas_aq0000 y_cc nunca_rg se_pp000000 meten_vmip000 con_sp000 las_pp000000 mexicanas_aq0000 u_cc las_da0000 amo_nc0s000 ',NoAgresivo
'A_sp000 mi_dp0000 mujer_nc0s000 le_pp000000 voy_vmip000 a_sp000 regalar_vmn0000 una_di0000 lampara_nc0s000 de_sp000 aladino_nc0s000 pa_sp000 q_cs guarde_vmsp000 el_da0000 genio_nc0s000 de_sp000 mierda_nc0s000 q_pr000000 tiene_vmip000 ←_z0 jajajajaja_i ',Agresivo
'a_sp000 mi_pp000000 no_rn me_pp000000 gusta_vmip000 las_da0000 expresiones_nc0p000 del_sp000 diputado_nc0s000 boric_nc0s000 creo_vmip000 que_cs hace_vmip000 mucho_di0000 dano_nc00000 a_sp000 chile_nc0s000 entero_aq0000 con_sp000 esta_dd0000 accion_nc0s000 ',NoAgresivo
