texto,clase
Excelente docente.,positivo
"Excelente profesional, entrega un clima de confianza y seguridad entre las estudiantes, ademas posee muco conocimiento de lo que esta ensenando.",positivo
un gran profesor,positivo
"no demuestras dominio en el tema, no presta ningun tipo de ayuda o entrega conocimiento a los alumnos para realizar las actividades, cuando se le pregunta no logra responder las preguntas ni resolver los problemas, diciendo busca en youtube entre otros.",negativo
mejor comunicacion con los alumnos,positivo
"excelente profesor, ojala los achaques de la edad no le afecten y nos siga haciendo clases",positivo
Profesor muy dedicado a sus clases y sus alumnos. Muy buena disposicion y manejo de los temas tratados,positivo
"Es una excelente docente, sin embargo a veces habian mal interpretaciones con los alumnos lo cual llevaba a discusiones y malos entendidos.",positivo
Es la mejor,positivo
poco autocritico,negativo
Buena onda,positivo
profesor que maneja su disciplina y utiliza estrategias dinamicas para ensenarla,positivo
"Sugiero apoyarse con instrumentos mas didacticos, ya que hace entrega de los ppt y lee lo mismo, lo cual es muy aburrido",negativo
buen profesor,positivo
regular,positivo
Buen profesor.,positivo
Muy buen profesor,positivo
"Clases didacticas, entretenidas, con mucho contenido, abarca todo lo programado.",positivo
"harto trabajo en clases y en laboratorio, buen transcurso del curso",positivo
profesora que explica muy bien la materia,positivo
avanzar un poco mas rapido en la materia,positivo
"Buena profesora, muestra dominio del tema.",positivo
PROFESOR DEMUESTRA MUY BUEN DOMINIO DE LOS CONTENIDOS DE LAS ASIGNATURAS,positivo
Muy buen profesor,positivo
"Que suba las clases (diapositivas) a la plataforma, eso no va a significar que uno no va asista a sus clases",negativo
Muy buen profesor,positivo
buen profesor y comprometido con los alumnos.,positivo
buen profesor,positivo
ningun comentario,neutro
Excelentes clases,positivo
"buen academico, buena disposicion para ensenar",positivo
todo bien,positivo
no hay,neutro
Es una suerte tener a un profesor tan bueno y dedicado.,positivo
Maneja mucho los contenidos,positivo
deberia dar mas plazo como la profesora carmen para los trabajos en clases,negativo
Buen profesor,positivo
"Muy buena profesor , un poco exigente a la hora de corregir",positivo
Mejor coordinacion entre profesores,positivo
"Es buena docente, sin embargo demora casi un mes en entregar calificaciones",negativo
procer,positivo
buenas metodologias de ensenanza,positivo
buen profesor,positivo
"Muy buena profesora, que me hizo ver las matematicas de una forma facil.",positivo
Buem profe,positivo
genera un ambiente de confianza y establece diferentes dinamicas,positivo
excelente profesor,positivo
Muy buena docente,positivo
buen profesor,positivo
responsabilidad al momento de realizar las clases,positivo
excelente profesor,positivo
Buena profesora,positivo
sin comentarios,neutro
"buena forma de llevar a cabo el inicio del seminario, pero mejorar el trbajo inicial para que tenga consistencia con el seminario de cada alumno",negativo
su metodo de ensenar podria de mejor,negativo
no hay sugerencias,neutro
"buenas sus clases, y el programa que nos tuvo preparada, nada a discutir de la clase",positivo
Excelente dominio de tema,positivo
tratar de hacer un ramo mas dinamico y tan enfocado a una maqueta como gran trabajo final,positivo
Buena profe,positivo
excelente profesor,positivo
Su trato amable con los alumnos es su mayor fortaleza.,positivo
ninguna,neutro
En la media no habia aprendido casi nada de ingles y la miss Constanzo me enseno mucho.,positivo
sin comentarios,neutro
Sin comentarios,neutro
"Buen metodo de ensenanza, profesora didactica",positivo
"El profesor maneja el contenido de la clase,pero no lo sabe llevar a cabo de forma correcto",positivo
muy buen profe de lab,positivo
jeje,neutro
Excelente.,positivo
Un profesor muy apasionado por la docencia que al estar en catedra nunca olvida aterrizar pedagògicamente los contenidos y habilidades,positivo
"Cuando esta de mal humor, no deberia desquitarse con los alumnos, creando una desconfianza en ellos.",negativo
Por favor ser mas responsables con  los plazos establecidos en el calendario academico,negativo
sin comentarios,neutro
Profesora muy preparada se ve que ama lo que hace,positivo
responsable,positivo
Exelente profesor,positivo
Falta dedicacion,negativo
esplendido docente con gran conocimiento y dominio de asignatura,positivo
"Nadie quiere estar con el porque es muy exigente pero es algo que ami me parece muy bueno ya que se estan creando futuros profesionales y esa exigencia al largo plazo nos favorecera mucho como estudiantes, en lo personal me parece un buen profesor.",negativo
muy buena profesora,positivo
Explicar mejor como hacer un marco teorico y no tanto las definiciones de los conceptos que se usan dentro de el,negativo
Es un buen profesor.,positivo
Buen profesor,positivo
Dar las mismas oportunidades para todos los alumnos,positivo
Hablar menos de su vida y mas materia de clase,negativo
Buen docente,positivo
"Buen profesor, explica claramente y maneja los temas en su totalidad.",positivo
todo bien,positivo
deberia mejorar algunas cosas,positivo
"Clases muy didacticas y entretenidas, siendo tambien la asignatura que brindoi el primer acercamiento al aula en 3er ano de la carrera.",positivo
explicar un poco mas la materia,positivo
Siempre muy amable,positivo
lo realizado en clases no tiene mucho en comun con el proyecto final,negativo
"muy grato estar en sus clases, buena disposicion",positivo
No hay sugerencias.,neutro
Empezar la clase cuando corresponda.,negativo
se aprende mucho en sus clases ya que es clara con los objetivos de esta,positivo
excelentes ayudantias,positivo
"Mas que una critica al profesor, es necesario generar nuevos metodos de aprendizaje en esta asignatura. La mayoria de mis companeros luego de las clases, no sabian como hacer un marco teorico. Tampoco se nos acota el tema, para poder terminar en el plazo",negativo
"Una buena profesora, clara y objetiva en sus clases",positivo
"Considero que las clases se pasaron muy rapido, no habia tiempo para tomar apuntes o razonar la materia en su momento. Sugiero que se consideren los estilos de aprendizaje de los alumnos. No todos aprendemos escribiendo la materia",negativo
"Honestamente, no hice nada en clases y aun asi pase con buena nota,entregando trabajos hechos el dia anterior, porque no habia contenido que aplicar en las evaluaciones.",negativo
"buen profesor, creo la confianza necesaria para la participacion de los alumnos  en el aula, deberia seguir haciendo clases en la facultad",positivo
Que presente alguna oficina en la Universidad en cualquier caso de consulta.,negativo
sus clases son buenas,positivo
"Considero que es un buen profesor, solo que le falta ser mas motivadoras sus clases y mas didacticas.",positivo
entrega informacion adecuada,positivo
Promover las instancias de participacion del alumno,positivo
"Mas trabajos practicos, sobre todo cuando se habla de rasantes y deslindes, quizas se podria analizar casos y aprender con propuestas volumetricas aplicando ciertas normativas.",positivo
Gran disposicion por ayudar,positivo
que la entrega de las guias  formativas sea con anticipacion,negativo
sin comentario,neutro
muy buen profesor,positivo
contenidos no muy claros,negativo
Buen trabajo,positivo
Buen profesor.,positivo
La profesora demuestra su amplio conocimiento y siempre nos motiva y desafia a buscar nuevos conocimientos y estrategias.,positivo
Encuentro que el profesor en muchas oportunidades hace perder el trato alumno estudiante que si bien debe ser ameno muchas veces ridiculiza al alumno al no saber la respuesta.,negativo
"Es una buena profesora, conoce bastante y entrega bien a sus alumnos, da espacio para solucionar dudas; sin embargo, debe cumplir mejor con los plazos para entregar notas y no impedir la entrada a alumnos que se retrasan a las evaluaciones",positivo
SIn Comentarios,neutro
nada que decir.,neutro
buena disposicion ante consultas y buen clima en el aula.,positivo
"Buena profesora, se preocupa que sus alumnos aprendan y entiendan a traves de diferentes metodos.",positivo
Buen manejo de temas y muy empatico,positivo
Excelente docente,positivo
Me gusto el animo que el tenia en cada clase y eso nos contagiaba a los participantes para hacer bien y con animo los ejercicios y lo mejor era el ambiente muy agradable,positivo
Sin comentarios,neutro
buen profesor,positivo
"el profesor cumple con todas las fechas de evaluacion, a pesar que le toma mas tiempo subir las notas al estipulado por reglamento, motiva al estudiante a interiorizarse mas en las materias, y tiene una buena disposicion en horario de consulta",negativo
muy buen profesor,positivo
SIN SUGERENCIAS,neutro
Excelente profesora.,positivo
que las clases no sean tan largas,negativo
muy poca voluntad y  pocas ganas de ensenar  y corregir al alumno,negativo
Sin comentarios.,neutro
Profesora muy empatica,positivo
"Excelente docente que siempre esta preocupada, dispuesta ayudar y resolver dudas a sus estudiantes, ademas que tiene ideas innovadoras y didacticas, domina el contenido o la disciplina, crea un ambiente de confianza y propicio para un aprendizaje.",positivo
No tengo ninguna sugerencia,neutro
buen profesor,positivo
No explica muy bien,negativo
mayor compromiso con alumnos,negativo
Anadir lecturas complementarias que faciliten el aprendizaje de los contenidos,negativo
Preocupada a la hora de recuperar una hora de clases,positivo
Le falta ser mas comprensivo,negativo
"Las clases podria pasarlas de forma mas lenta, el contenido es excelente",negativo
"Hacer las pruebas antes, porque despues hace dos pruebas juntas.",negativo
"Se preferira que en el ramo hubieran mas clases practicas y laboratorios , y menos teoria , debido a que es demasiado lo que hay que estudiar semana a semana.",negativo
como comentario la asignatura es muy buena para ayudarnos a entender el desarrollo de la universidad  y adentrarnos de mejor forma a esta misma,positivo
buen profesor,positivo
clases mas pausadas,negativo
Profesora muy didactica,positivo
Clases bien explicadas y tiene paciencia para ensenar,positivo
exelente profesora,positivo
se nota mucha  la preferencia en algunos estudiantes,negativo
realizar de manera mas didacticas las clases,negativo
"Excelente profesor, buena disponibilidad para dudas, establece grato ambiente en sala de clases",positivo
excelente docente e impecable manejo de contenidos,positivo
Sugiero mas dinamica en presentaciones ppt,negativo
explique mejor,negativo
Excelente profesional,positivo
Que no tarde mas del tiempo establecido en la entrega de calificaciones.,negativo
Creo que no establece horarios de consulta,negativo
no atendia las dudas,negativo
Muy buen profesor.,positivo
es una clase interesante donde uno va aprendiendo la importancia de la arquitectura  en el historia,positivo
Mas ejemplos en clases,negativo
Good Class,positivo
excelente profesor,positivo
mas ejercicios en clases,negativo
buenas sus clases y didacticas,positivo
Los recursos para el aprendizaje no son didacticos lo que hace que las clases sean un poco directivas y monotonas. En ocasiones falto retroalimentacion debido a que para algunos grupos el tiempo no alcanzaba y no se realizaba una buena retroalimentacion.,negativo
Se nota que domina el tema y sabe explicar bien para su clara comprension,positivo
Buen profe,positivo
mayor puntualidad,negativo
"Buen profe, buena onda, conoce bien el tema que expone.",positivo
Buen docente,positivo
Excelente desempeno,positivo
"Demuestra gran habilidad para ensenar a los alumnos, asi tambien su simpatia y forma de explicar que hace de la clase mas didactica e interesante.",positivo
Buen profesor,positivo
Es una gran profesora,positivo
Ensena muy bien empleando metodos que captan toda nuestra atencion.,positivo
A la grande le puse cuca,neutro
muy bien,positivo
se expresa de forma adecuada,positivo
Buena disposicion a ensenar. Falta cumplir programa.,positivo
Instancia para aprender mas sobre el censo y como se aplica en su especialidad.,positivo
Muy buena disposicion a la hora de aclarar dudas,positivo
Muy buena docente. Solo requiere mas experiencia.,positivo
Seguir utilizando metodologia cercana al alumno,positivo
nada en especial que decir :),neutro
Un poco latoso para dar la clase,negativo
"Podria hacer las clases con un poco mas de animo, asi los estudiantes no nos aburrimos en su clase.",negativo
Deberia haber mayor interaccion con los estudiantes en el aula como hacer preguntas o recalcar algunas cosas importantes  y no solo hablar de corrido.,negativo
mas lento,negativo
Docente con alto manejo de contenidos.,positivo
Excelente,positivo
"nada, su clase es interesante",positivo
Buen profesor,positivo
Mmss nose weno ci se pero no waa a decir,neutro
muy buena profesora,positivo
Ninguno,neutro
nada que acotar,neutro
nada que sugerir.,neutro
buen profesor,positivo
Simpatico,positivo
enviar correo cuando no vaya a realizar la clase,negativo
Es un muy buen profesor,positivo
Muy buena profesora. Muy pausada para explicar lo que ayudaba a que comprendiera mejor la materia.,positivo
Podria responder los correos,negativo
grato ambiente de estudio,positivo
"Suele ridiculizar al no saber musica, decir comentarios no apropiados o doble sentido en el aula, ademas de machistas.",negativo
excelente disposicion,positivo
"El ambiente de clases es tedioso con su forma de hacer clases, es necesario que no sea tan monotono para hablar",negativo
faltar menos a clases,negativo
sin comentarios,neutro
Enviar las notas en los periodos correspondientes.,negativo
Falto un poco de mas planificacion en los horarios y quiza paso la cuenta un poco la falta de experiencia en manejar un grupo con alumnos de distintas edades. En general es un buen elemento para la universidad y ojala la tengan en cuenta.,negativo
:),positivo
Realizar las clases mas didacticas,negativo
buenas explicaciones y dedicacion,positivo
excelente profesora,positivo
mas organizacion en la notas,negativo
Muy buen profesor,positivo
muy buena profesora,positivo
"explica de forma clara , le preocupa el contenido y que seamos buenos futuros profesionales",positivo
Existencia de pre certamenes,positivo
Clases didacticas y muy entretenidas aparte de que ensena super bien en un excelente ambiente,positivo
Se deberia dar enfoque mas hacia la ingenieria civil que a matematicas puras,negativo
Seria bueno explicar con mayor detalle los ejercicios presentados clase a clase.,negativo
Todo muy bien,positivo
Excelente docente,positivo
"Excelente profesora, demuestra que le gusta lo que hace y ensena de manera muy elocuente y atractiva.",positivo
Excelente profesional. Responsable y comprometida con el grupo.,positivo
"Mayores metodos de evaluacion, centrarse solo en la realizacion de certamenes y test escritos no favorece el aprendizaje",negativo
Sin comentarios.,neutro
docente preocupado de la clase y aprendizaje,positivo
Clase de mucha aplicacion de contenidos y materias,positivo
"Buena docente, tiene gran conocimiento. En oportunidades sus certamenes no fueron tan coherentes con la materia pasada",positivo
falta que sus clases sean mas dinamicas,negativo
"las guias deberias estar traducidas en espanol, para saber que significa, por que una guia completa en ingles no me ayudara a comprenderla",negativo
Buen profesor,positivo
Excelente profesora.,positivo
No hay sugerencias,neutro
"Se sugiere consultar previamente a los alumnos sobre la disponibilidad de horarios al querer juntar dos grupos de laboratorio para usar planta piloto, por que ocurrian topes con practicos de otras asignaturas.",negativo
ninguno,neutro
"Centrarse mas en la materia y un poco menos la experiencia de su vida personal, que no es malo pero hay que saber proporcionar cierta importancia a cada tema",negativo
"es una buena profesora, pero deberia exponer algunos contenidos con mayor claridad",positivo
las clases son didacticas y entretenidas,positivo
Que siga con la metodologia utilizada,positivo
Se agradece el compromiso y profesionalismo del profesor,positivo
Docente correcto en su funcion.,positivo
Comprometido con sus alumnos,positivo
Excelente docente.,positivo
Flexibilidad con asistencia a clases,positivo
Buena docente,positivo
esta bien,positivo
Sus clases me han ayudado en gran manera para realizar informes y trabajos relacionados,positivo
excelente docente,positivo
muy buena asignatura y buen desempeno del profesor,positivo
Motivador,positivo
Buen profesor,positivo
se nota que domina los temas,positivo
Gran docente y excelente persona.,positivo
"Excelente profesor supervisor, un modelo a seguir.",positivo
Mucha teoria y poca aplicacion,negativo
niguno,neutro
un muy buen pedagogo,positivo
Buen Docente,positivo
Otras formas de a evaluar la asignatura y unificar criterios en certamenes con otro profesor a cargo,negativo
Profesora muy amable y simpatica,positivo
Lo considero un buen docente,positivo
ninguna,neutro
Excelente profesora,positivo
"Clases didacticas utilizando guias, dicertaciones; obras por nosotros en la cual proporciona participacion del curso",positivo
"Manejo total del material visto en cada clase. Profesor didactico, y toma muy en consideracion las opiniones de sus alumnos.",positivo
"si bien, un estudiante de ingenieria debiera saber manejar el programa autocad, no obstante,debiera explicar de forma basica de como realizar los trabajos solicitados en cierto programa",negativo
Buen profesor,positivo
muy buen profesor excelente profesional.,positivo
Mas entretenido,positivo
"un gran profesor, hace de sus clases una clase divertida y dinamica. una asignatura que en el papel es muy tediosa, el logra convertirla en una clase dinamica y provechosa, con su carisma y con sus conocimientos",positivo
Buena profe,positivo
Ninguna sugerencia.,neutro
"Deberia incentivar  mas al estudiante al superarse, que tome en cuenta las opiniones de los estudiantes sobre la metodologia  de su clase  que a modo personal no me motiva y no me genera interes",negativo
Un poco mal genio,negativo
"excelente profesor, preocupado de que todos entiendan la materia, sabe generar un buen ambiente en la sala y una buena relacion con los estudiantes",positivo
Que sigan con metodologia de ahora,positivo
EXCELENTE,positivo
"Se nota su interes en ensenar sus conocimientos, tiene muy buena disposicion",positivo
Buen profesor,positivo
Mas bibliografia,negativo
buena profesora,positivo
Sin comentarios,neutro
Muy buena profesora,positivo
"Buen profe, comprometido con los alumnos.",positivo
sus clases son geniales,positivo
ENTRETENIDA,positivo
cambiar las diapos,negativo
Buen profesor pero las evaluaciones son muy exigentes,negativo
"Nada que agregar, muy buen docente",positivo
La primera parte del programa debiera ser explicado por un estadistico y la segunda por el.,negativo
muy buenas clases,positivo
"no todos los alumnos tienen buena base,por lo tanto no deberia suponer que todos los alumnos si tienen los conocimientos",negativo
buen desarrollo de clases  y otorga una buena comunicacion alumno profesor,positivo
"Creo que al comienzo de cada clase deberia clarificar el contenido a ver para que no surgan dudas con respecto aeste, tambien no ver durante tantas clases el mismo contenido .",negativo
excelente docente y su metodologia igual es muy buena,positivo
todo ok,positivo
Ninguna,neutro
Excelente profesora,positivo
buen profe,positivo
Buen profesor,positivo
"Menos lectura de las diapositivas, y que no todas contengan tantas escritura ni digan lo mismo que las demas, porque nos enredan",negativo
sin comentarios,neutro
online,neutro
"Es un gran profesor, muy comprometido con sus alumnos :)",positivo
"encontre que ha sido el profesor mas completo, ya que tiene toda su disposicion hacia sus alumnos",positivo
buen profesor,positivo
"Buen profesor, preocupado de sus alumnos",positivo
Profesora que no cumple con los horarios de inicio de clases establecidos,positivo
ninguno,neutro
Buen docente,positivo
BUEN PROFESOR,positivo
Responsable,positivo
excelente,positivo
Ustede es el mejor,positivo
"Es buen taller, libera el estres, es muy necesario para enfermeria",positivo
Clases mas lentas y explicaciones claras (menos tecnicas),negativo
Buen profesor,positivo
Falta relacionar de una forma un poco mas directa los contenidos con la  aplicabilidad en nuestra  area.,negativo
"el repaso que hace sobre la clase anterior es muy extenso lo que no permite avanzar mucho. debiera hacer mas ejercicios practicos y que sean mas parecido a la realidad, ya que los de clases son muy basicos. hacer las clases mas dinamicas",negativo
excelente profesor,positivo
muy buenas clases,positivo
buen metodo de ensenanza,positivo
buen profesor,positivo
"Excelente clase profesor, nada que decir. Solo agregaria una ayudantia y progreso con entregas de avances en el proyecto.",positivo
Excelente ambiente entrega en la clase,positivo
Ninguna,neutro
deberia de no seguir haciendo clases,negativo
Muy bueno,positivo
"No tengo sugerencia, sus clases me parecen buenas.",positivo
Me gusta su manera de explicar los contenidos,positivo
"es un profesor muy preocupado, explica muy bien",positivo
su didactica es buena y hace participar a todos los estudiantes,positivo
Clases ludicas entretidas logradas con exito,positivo
Tiene mucha paciencia,positivo
excelente profesor,positivo
"Explicaba bien, se entendia.",positivo
buen profesor,positivo
clases entretenidas y buenas,positivo
Dificil acceso a informacion requerida en el trabajo final,negativo
Excelente metodologia.,positivo
nunca lo conoci,neutro
Siga asi,positivo
Todo ok,positivo
"NO RECUPERA LAS CLASES PERDIDAS, Y LAS CLASES SIGUIENTES LAS HACE SUPER RAPIDO, LO QUE PERJUDICA EN EL APRENDIZAJE DE LOS ALUMNOS",negativo
Buen profesor,positivo
Clases enfocadas en problematicas sociales referentes a nuestro tiempo,positivo
Que dicte electronica de potencia,positivo
"Buen profe, sabe muchisimo, crea un buen ambiente en las clases",positivo
buen profesor,positivo
Nada que agregar,neutro
profesor organizado,positivo
DOMINIO DE LA ASIGNATURA,positivo
"Docente con alta calidad humana, profesional, con vocacion.",positivo
explicacion pocos claras,negativo
Muy buen profesor,positivo
un profesor que tiene la disposicion de ensenar,positivo
Buen Profesor,positivo
"Es una profesora muy optimista y animada, siempre intenta que sus alumnos se interesen en la materia que se esta viendo y se preocupa de explicar una y otra vez si aun hay personas que no entienden.",positivo
explicar de una forma mas simple los contenidos,negativo
nada para comentar,neutro
siga asì,positivo
Profesora muy responsable en la entrega de contenido y sus posteriores evaluaciones,positivo
Excelente profesor,positivo
"Muy buen profesor, siempre con excelente disposicion para atender consultas y dudas.",positivo
suba las notas,negativo
Todo bien pero le falto organizacion en los ultimos contenidos.,negativo
Excelente profesor,positivo
Excelente profesora y con gran vocacion.,positivo
no entendi para sirve filosofia en educacion parvularia,negativo
"excelente profesora, demuestra interes por que sus alumnos aprendan.",positivo
la clase ayuda mucho para el ejercicio de la profesion,positivo
"No se apoya de material, no se le entiende la pizarra, es muy llevado a su idea y su forma de corregir no es la adecuada.",negativo
Leer menos en los power.,negativo
entregar las notas cuando corresponde y prestar mas atencion a como explica el contenido .En general mejorar la participacion en clases .,negativo
excelente docente.,positivo
Buena profesional pero le falta pedagogia y entusiasmo al explicar.  Me gustaria entregaran las diapositivas,negativo
"En general, el profesor actua de buena manera frente al curso, maneja los contenidos y ejemplifica de muy buena manera lo ensenado. Personalmente me ayudo mucho y su ramo fue de mi agrado, incluso me incentivo a seguir realizando proyectos audiovisuales.",positivo
No hay sugerencia ni comentarios,neutro
Deberia de tener mas participacion en clases ya que tiene un gran conocimiento acerca de la carrera.,positivo
Buena profesora. Sugiero que las preguntas de los certamenes sean mas puntuales y menos tramposas,positivo
deberia hacer mercado de capitales,positivo
excelente profesora,positivo
sin comentarios,neutro
Deberia dejar de copiar todo del ipad a la pizarra... ¿cual es la finalidad de la clase si vamos a copiar textualmente lo que tiene en su ipad? ademas que no se le entiende claramente lo que explica en las clases .,positivo
Omito,neutro
cumple bien su rol en la asignatura,positivo
Gran profesor. Didactico. Dinamica. Cercano con alumnos/as. Una grata sorpresa fue esta asignatura.,positivo
Muy simpatico y agradable en la clase,positivo
buen profesor,positivo
Buenas clases,positivo
buen profesor.,positivo
Falta de interes en las clases practicas,negativo
"Se notaba que sabia mucho del tema, aunque en ocasiones hablaba y hablaba y no daba espacio para interaccion,pero en general se preocupaba por entregar conocimientos",positivo
"Generalmente el profesor no respeta el horario de comienzo de las revisiones, dejando a los alumnos  y al profesor QUijada esperando por mas de media hora.",positivo
Muy buenA profe,positivo
Excelente Profesora,positivo
No se,neutro
"no tengo ninguna sugerencia, la metodologia utilizada por el profesor a mi parecer es buena",positivo
Buena profesora,positivo
Excelente docente,positivo
Me parece perfecto que la docente incluya estadisticas y datos actualizados sobre la poblacion mayor de Chile y del mundo.,positivo
nada que decir,neutro
"Excelente su manera de ensenar, maneja contenidos a la perfeccion y ensena con mucha paciencia, ademas ante la duda de cualquiera se queda el tiempo necesario hasta que uno comprenda.",positivo
siga con el animo y gracias por las clases,positivo
"Maneja de buena forma los tiempos, realiza una clase que permite comprender la materia, explicando y atendiendo siempre las dudas.",positivo
verificar con anticipacion la redaccion de las evaluaciones para no producir confusion en los alumnos.2.Asegurarse que el/la ayudante a cargo se acomode al puesto para que realmente nos aporte conocimientos o ayuda al enterder3.responda consultas,positivo
"Buen profesor, preocupado por sus estudiantes.",positivo
Buena profesora,positivo
Que siga asi,positivo
"Profesora con mucho conocimiento, asocia la materia con la practica, explica de una manera muy sencilla y que se puede entender bien, quiza le falta ser un poco empatica",positivo
flexibilidad con horario,positivo
Mas atento a Moodle nada mas,negativo
Buena profesora,positivo
entrega de notas en plazos indicados,negativo
"Es una profesora con mucha dedicacion, vocacion, es admirable, tiene un manejo completo de cada contenido, excelente docente y una de las mejores de la carrera y universidad.",positivo
"nada que decir, excelente profe",positivo
"excelente profesora, muy clara ensenando y inspira un ambiente de confianza y para un buen desempeno, si tengo la posibilidad de tomar con ella de nuevo, sin duda la vuelvo a elegir",positivo
todo bien,positivo
tener un mejor manejo del contenido exponer y evaluar,negativo
Podria ensenar de mejor forma a los alumnos con mas calma y claridas,negativo
buena asignatura,positivo
Realizar mayor cantidad de clases con apoyo de power point,positivo
Sin sugerencias,neutro
Profesora muy comprometida con el aprendizaje de sus alumnas,positivo
Sus clases son dinamicas y se aprende mucho.,positivo
"a pesar de que los ejercicios desarrollados en evaluaciones corresponden a la materia de la asignatura, estas no fueron vistos en clases ademas de ser atingentes al conocimiento que debieramos tener como ingenieros civiles",negativo
"un profesor cargado de conocimiento, pero el horario se le ve reducido para explicarnos todo lo que quisiese",positivo
